,text,environmental,action
79,"our principal executive offices are located at 10003 woodloch forest drive, the woodlands, texas 77380, and our telephone number at that location is  719‑6000.",environmental,none
150,"      butane, propylene and oxygen     mtbe mtbe is an oxygenate that is blended with gasoline to reduce harmful vehicle emissions and to enhance the octane rating of the gasoline.",environmental,none
194,mtbe is an oxygenate that is blended with gasoline to reduce harmful vehicle emissions and to enhance the octane rating of gasoline.,environmental,none
220,"we believe that mdi and formulated mdi systems, which combine mdi and polyols, will continue to grow at approximately double the rate of global gdp driven by the mega trends of energy management, food preservation, demographics and urbanization/transportation.",environmental,none
221,"mdi offers key products benefits of energy efficiency, comfort and durability aligned with these megatrends.",environmental,none
247, mtbe is an oxygenate that is blended with gasoline to reduce harmful vehicle emissions and to enhance the octane rating of gasoline.,environmental,none
438,"in addition to internally produced raw materials, the main raw materials used in the production of our amines are edc, caustic soda, ammonia, hydrogen, methylamines and acrylonitrile.",environmental,none
468,"we sell to more than 1,800 customers in the following end markets: aerospace, automotive, liquid natural gas transport, coatings and construction, printed circuit boards, consumer, industrial and automotive electronics, consumer and industrial appliances, wind power generation, consumer/do it yourself, electrical power transmission and distribution, recreational sports equipment, medical appliances and food and beverage packaging.",environmental,none
480,"our materials address requirements such as long open times for large area applications, fast‑curing adhesives for early removal and rapid through‑put, resistance to high temperature, water and chemicals, thixotropy for gap‑filling or vertical applications, and toughness, impact‑resistance and elasticity to cope with different thermal expansions when bonding larger structures.",environmental,none
490,"our product technologies enhance performance and productivity at low voc and environmental impact in several coatings and construction applications, like heavy duty protection, marine, transportation, food packaging, flooring and chemical anchoring.",environmental,none
539,the wind market for thermoset resins is being driven by light weighting and energy efficiency and our product offering with standard products and custom-made formulations allows for competitively priced solutions backed by an effective supply chain.,environmental,none
548,"increased environmental regulations, particularly in many parts of asia, and consumer awareness about the environmental impact of the apparel industry has resulted in increased demand for sustainably produced textiles.",environmental,none
549,"we are at the forefront of developing sustainable textiles with advanced technology such as non‑fluorinated durable water repellence, and eco‑friendly digital printing.",environmental,action
550,"our award‑winning avitera® reactive dyeing technology meets global industry environmental standards and helps textile mills increase yield, improve productivity and reduce processing costs by significantly reducing water and energy consumption.",environmental,action
558,we develop and offer processes for technological applications of dyes that enable our customers to improve their production yield and reduce their water and energy consumption.,environmental,action
562," we are at the forefront of the emerging trend in digital textile printing, including the time‑to‑market pressures of rapidly changing fashion trends and environmental concerns.",environmental,none
564,"our innovative and sustainable digital inks technology is designed to help mills improve process efficiency, print reliability and improve overall environmental performance.",environmental,action
572,we work to provide the right balance of products and service to meet the technical and environmental challenges in each of these markets.,environmental,action
577,"the textile effects segment’s avitera® dyes meet global industry environmental standards and helps textile mills increase yield, improve productivity and reduce processing costs by reducing water and energy consumption.",environmental,action
578,"pretreatment and dyeing auxiliaries ensure that these fabrics are processed efficiently and effectively—cleaning the fabrics with fewer chemicals, less energy and less water and thereby minimizing the environmental footprint and reducing the processing costs.",environmental,action
589,textile effects is at the forefront of the emerging trend in digital textile printing including the time‑to‑market pressures of rapidly changing fashion trends and environmental concerns.,environmental,none
591,"the innovative and sustainable digital ink technology is designed to help mills improve process efficiency, print reliability and improve overall environmental performance.",environmental,action
602,"process competence, which we define as applying know‑how and expertise to improve customers’ processes, allows us to utilize our technical service to reduce cost, enhance efficiency and offer recommendations to improve the ecological and environmental footprint in the wet processing of textiles.",environmental,action
621,we are a leader in environmentally sustainable chemistry with products that help customers enhance efficiency and reduce their environmental footprint.,environmental,none
623,"in addition, we engage regularly with downstream brands and retailers on industry and sustainability issues.",environmental,action
649,"environmental, health and safety matters general we are subject to extensive federal, state, local and international laws, regulations, rules and ordinances relating to occupational health and safety, process safety, pollution, protection of the environment and natural resources, product management and distribution, and the generation, storage, handling, transportation, treatment, disposal and remediation of hazardous substances and waste materials.",environmental,none
650,"in the ordinary course of business, we are subject to frequent environmental inspections and monitoring and occasional investigations by governmental enforcement authorities.",environmental,none
652,"actual or alleged violations of safety laws, environmental laws or permit requirements could result in restrictions or prohibitions on plant operations or product distribution, substantial civil or criminal sanctions, or injunctions limiting or prohibiting our operations altogether.",environmental,none
653,"in addition, some environmental laws may impose liability on a strict, joint and several basis.",environmental,none
654,"moreover, changes in environmental regulations could inhibit or interrupt our 23   table of contents operations, or require us to modify our facilities or operations and make significant environmental compliance expenditures.",environmental,none
655,"accordingly, environmental or regulatory matters may cause us to incur significant unanticipated losses, costs or liabilities.",environmental,none
656,"information related to environmental, health and safety matters may also be found in other areas of this report including “—item 1a.",environmental,none
658,summary of significant accounting policies—environmental expenditures” to our consolidated financial statements and “note 20.,environmental,none
659,environmental health and safety matters” to our consolidated financial statements.,environmental,none
660,"environmental, health and safety systems we are committed to achieving and maintaining compliance with all applicable ehs legal requirements, and we have developed policies and management systems that are intended to identify the multitude of ehs legal requirements applicable to our operations, enhance compliance with applicable legal requirements, improve the safety of our employees, contractors, community neighbors and customers and minimize the production and emission of wastes and other pollutants.",environmental,action
663,"environmental remediation we have incurred, and we may in the future incur, liability to investigate and clean up waste or contamination at our current or former facilities or facilities operated by third parties at which we may have disposed of waste or other materials.",environmental,none
664,"similarly, we may incur costs for the cleanup of waste that was disposed of prior to the purchase of our businesses.",environmental,none
665,"under some circumstances, the scope of our liability may extend to damages to natural resources.",environmental,none
672,"regulatory matters greenhouse gas regulation and climate change globally, our operations are increasingly subject to regulations that seek to reduce emissions of greenhouse gases, such as carbon dioxide and methane, which may be contributing to changes in the earth’s climate.",environmental,none
673,"at the durban negotiations of the conference of the parties to the kyoto protocol in 2012, a limited group of nations, including the european union, agreed to a second commitment period for the kyoto protocol, an international treaty that provides for reductions in ghg emissions.",environmental,action
674,"more significantly, the eu ghg emissions trading system, established pursuant to the kyoto protocol to reduce ghg emissions in the eu, continues in its third phase.",environmental,action
675,the eu parliament has used a process to formalize “backloading”—the withholding of ghg allowances during the trading period from 2014 to 2016 with additional allowances auctioned during 2019 to 2020—to prop up carbon prices.,environmental,action
679,"in addition, the eu has announced the binding target to reduce domestic ghg emissions by at least 40% below the 1990 level by 2030.",environmental,action
680,"the eu has set a binding target of increasing the share of renewable energy to at least 27% of the eu’s energy consumption by 2030, and additional proposals have been made to increase the target to 35%.",environmental,action
681,"in addition, at the 2015 united nations framework convention on climate change in paris, the u.",environmental,none
683,"and nearly 200 other nations entered into an international climate agreement, which went into effect in november 2016 .",environmental,action
684,"although the agreement does not create any binding obligations for nations to limit their ghg emissions, it does include pledges to voluntarily limit or reduce future emissions.",environmental,action
689,federal climate change legislation in the u.,environmental,none
692,"as a result, domestic efforts to curb ghg emissions will continue to be led by the u.",environmental,none
694,environmental protection agency’s ghg regulations and similar programs of certain states.,environmental,none
695,"to the extent that our domestic operations are subject to the epa’s ghg regulations, we may face increased capital and operating costs associated with new or expanded facilities.",environmental,none
696,significant expansions of our existing facilities or construction of new facilities may be subject to the clean air act’s requirements for pollutants regulated under the prevention of significant deterioration and title v programs.,environmental,none
697,"some of our facilities are also subject to the epa’s mandatory reporting of greenhouse gases rule, and any further regulation may increase our operational costs.",environmental,none
698,"we are already managing and reporting ghg emissions, to varying degrees, as required by law for our sites in locations subject to u.",environmental,action
701,"although these sites are subject to existing ghg legislation, few have experienced or anticipate significant cost increases as a result of these programs, although it is possible that ghg emission restrictions may increase over time.",environmental,none
702,"potential consequences of such restrictions include capital requirements to modify assets to meet ghg emission restrictions and/or increases in energy costs above the level of general inflation, as well as direct compliance costs.",environmental,none
704,"finally, it should be noted that some scientists have concluded that increasing concentrations of ghgs in the earth’s atmosphere may produce climate changes that have significant physical effects, such as increased frequency and severity of storms, droughts, and floods and other climatic events.",environmental,none
730,"in addition, we rely on a number of vendors, suppliers, and in some cases sole‑source suppliers, service providers, toll manufacturers and collaborations with other industry participants to provide us with chemicals, feedstocks and other raw materials, along with energy sources and, in certain cases, facilities that we need to operate our business.",environmental,none
735,"while we maintain business recovery plans that are intended to allow us to recover from natural disasters or other events that could disrupt our business, we cannot provide assurances that our plans would fully protect us from the effects of all such disasters or from events that might increase in frequency or intensity due to climate change.",environmental,none
736,"in addition, insurance may not adequately compensate us for any losses incurred as a result of natural or other disasters.",environmental,none
737,"in areas prone to frequent natural or other disasters, insurance may become increasingly expensive or not available at all.",environmental,none
738,"furthermore, some potential climate‑driven losses, particularly inundation due to sea‑level rise, may pose long‑term risks to our physical facilities such that operations cannot be restored in their current locations.",environmental,none
875,"these hazards include: chemical spills, pipeline leaks and ruptures, storage tank leaks, discharges or releases of toxic or hazardous substances or gases and other hazards incident to the manufacturing, processing, handling, transportation and storage of dangerous chemicals.",environmental,none
876,"we are also potentially subject to other hazards, including natural disasters and severe weather; explosions and fires; transportation problems, including interruptions, spills and leaks; mechanical failures; unscheduled downtimes; labor difficulties; remediation complications; and other risks.",environmental,none
878,"many potential hazards can cause bodily injury and loss of life, severe damage to or destruction of property and equipment and environmental damage, and may result in suspension of operations and the imposition of civil or criminal penalties and liabilities.",environmental,none
880,"we maintain property, business interruption, products liability and casualty insurance policies which we believe are in accordance with customary industry practices, as well as insurance policies covering other types of risks, including pollution legal liability insurance, but we are not fully insured against all potential hazards and risks incident to our business.",environmental,none
889,"we are subject to extensive federal, state, local and foreign laws, regulations, rules and ordinances relating to pollution, protection of the environment and human health and safety, and the generation, storage, handling, 31   table of contents transportation, treatment, disposal and remediation of hazardous substances and waste materials.",environmental,none
914,"epa issued several final rules in 2017 under the revised tsca related to existing chemicals, including the following: a rule to establish epa’s process and criteria for identifying chemicals for risk evaluation; a rule to establish epa’s process for evaluating high priority chemicals and their uses to determine whether or not they present an unreasonable risk to health or the environment; and a rule to require industry reporting of chemicals manufactured or processed in the u.",environmental,action
921,"furthermore, governmental, regulatory and societal demands for increasing levels of product safety and environmental protection could result in increased pressure for more stringent regulatory control with respect to the chemical industry.",environmental,none
924,"accordingly, environmental or regulatory matters may cause us to incur significant unanticipated losses, costs or liabilities, which could reduce our profitability.",environmental,none
929,"furthermore, we may be liable for the costs of investigating and cleaning up environmental contamination on or from our properties or at off‑site locations where we disposed of or arranged for the disposal or treatment of hazardous materials, or from disposal activities that pre‑dated our purchase of our businesses.",environmental,none
931,regulatory requirements to reduce ghg emissions could have an adverse effect on our results of operations.,environmental,none
932,"our operations are increasingly subject to regulations that seek to reduce emissions of ghgs, such as carbon dioxide and methane, which may be contributing to changes in the earth’s climate.",environmental,none
933,"there are existing efforts to address ghg emissions at the international, national, and regional levels.",environmental,action
934,"for example, the 2015 paris climate summit 32   table of contents agreement, which entered into force in november 2016, resulted in voluntary commitments by numerous countries to reduce their ghg emissions.",environmental,action
938,the eu also regulates ghgs under the eu ets and china has established its own country-wide ghg cap and trade program.,environmental,action
939,"domestically, the epa issued its final clean power plan rules in 2015 that establish carbon pollution standards for power plants, called co2 emission performance rates.",environmental,action
940,this rule has been challenged in court and the epa announced in october 2017 that it intended to repeal and potentially replace the clean power plan.,environmental,action
941,"on august 21, 2018, the epa proposed the affordable clean energy rule to replace the 2015 clean power plan, which was stayed by the u.",environmental,action
944,the proposed ace rule will establish emission guidelines for states to develop plans to address ghg emissions from existing coal-fired power plants.,environmental,action
