,text,environmental,action
81,"recent developments on september 17, 2013, we entered into a definitive agreement to acquire the performance additives and titanium dioxide businesses of rockwood holdings, inc.",environmental,none
88,"we are a leading global producer in many of our key product lines, including mdi, amines, surfactants, epoxy-based polymer formulations, textile chemicals, dyes, maleic anhydride and titanium dioxide.",environmental,none
126,mtbe is an oxygenate that is blended with gasoline to reduce harmful vehicle emissions and to enhance the octane rating of gasoline.,environmental,none
176,    mtbe is an oxygenate that is blended with gasoline to reduce harmful vehicle emissions and to enhance the octane rating of gasoline.,environmental,none
312,carbonates.,environmental,none
313,    ethylene and propylene carbonates are manufactured by reacting eo and po with carbon dioxide.,environmental,none
315,"they are also increasingly being used as a photo-resist solvent in the manufacture of printed circuit boards, solar panels, lcd screens and the production of lithium batteries.",environmental,none
322,"our maleic anhydride technology is a proprietary fixed bed process with solvent recovery and is characterized by low butane consumption and an energy- efficient, high-percentage solvent recovery system.",environmental,none
387,"in addition to internally produced raw materials, the main raw materials used in the production of our amines are ethylene dichloride, caustic soda, ammonia, hydrogen, methylamines and acrylonitrile.",environmental,none
446,"  we sell our adhesive products on a global basis into diverse, industry-specific markets, which include the aerospace, wind turbine, lng transport, filter bonding, solar cell and other industrial application markets.",environmental,none
453,"the purpose of these products is to insulate, protect or shield either the environment from electrical current or electrical devices from the environment, such as temperature or humidity.",environmental,none
531,"pretreatment and dyeing auxiliaries ensure that these fabrics are processed efficiently and effectively—cleaning the fabrics with fewer chemicals, less energy and less water and thereby minimizing the environmental footprint and reducing the processing costs.",environmental,action
556,pigments general we are a global leader in the creation of titanium dioxide solutions.,environmental,none
557,"titanium dioxide is a white inert pigment which provides whiteness, opacity and brightness to thousands of everyday items including paints, plastics, paper, inks, food and personal care products.",environmental,none
559,"we use our expertise in titanium dioxide to create solutions for our customers that can deliver much more than whiteness and opacity, including freeing capacity, reducing energy use and enabling infrastructure to last longer.",environmental,action
560,"our tioxide® and deltio® brands are made in our seven manufacturing facilities around the globe and service over 1,200 customers in practically all industries and geographic regions.",environmental,none
564,our award winning altiris® pigment can increase the solar reflective properties in a wide range of colored exterior coatings.,environmental,none
565,improving the solar reflectance of structures can reduce the surface and interior temperatures of buildings resulting in lower energy consumption within these structures.,environmental,none
566,"during 2013, we commissioned our new magnesium sulfate fertilizer manufacturing operation at our calais, france site to increase the efficiency, sustainability and cost effectiveness of the site and in 2014 we expect to commission additional facilities at our scarlino, italy site which will widen the range of feedstocks the site can use and produce value adding co-products.",environmental,action
568,", under which we will acquire all of the issued and outstanding equity interests owned by rockwood in certain entities comprising rockwood's performance additives and titanium dioxide businesses, for approximately $1.",environmental,none
571,"products and markets historically, global titanium dioxide demand growth rates tend to closely track global gdp growth rates.",environmental,none
582,our company is one of the five major producers of titanium dioxide.,environmental,none
583,"beyond these producers, the titanium dioxide industry currently has a large number of small regional or local producers, especially in china.",environmental,none
584,"titanium dioxide supply has historically kept pace with increases in demand as producers increased capacity through low cost incremental debottlenecks, efficiency improvements and, more recently, new capacity additions in china.",environmental,action
585,"during periods of low titanium dioxide demand, the industry experiences high stock levels and consequently reduces production to manage working capital.",environmental,none
588,"sales and marketing approximately 85% of our titanium dioxide sales are made through our global sales and technical services network, enabling us to work closely with our customers.",environmental,action
589,our focused sales effort and local manufacturing presence have allowed us to achieve leading market shares in a number of the countries where we manufacture titanium dioxide.,environmental,action
593,"this is evidenced by our deltio® pigments range which helps our customers to liberate capacity, reduce energy, improve working environments and reduce waste.",environmental,action
595,approximately 72% of our titanium dioxide capacity is located in western europe.,environmental,none
603,"the new facility enabled the closure of part of our calais effluent treatment plant to increase the efficiency, sustainability and cost effectiveness of the entire calais site.",environmental,action
606,"closes, we would expect to operate titanium dioxide facilities in an additional two countries with additional capacity of approximately 340,000 metric tons of titanium dioxide and 100,000 metric tons of functional additives per year, as well as additional facilities in six countries comprising the performance additives business.",environmental,none
615,raw materials the primary raw materials used to produce titanium dioxide are titanium-bearing ores.,environmental,none
623,titanium dioxide producers extract titanium from ores and process it into pigmentary titanium dioxide using either the chloride or sulfate process.,environmental,none
626,co-products from both processes require treatment prior to disposal in order to comply with environmental regulations.,environmental,none
635,"moreover, the sulphate based titanium dioxide technology used by our pigments segment is widely available.",environmental,none
671,"environmental, health and safety matters general we are subject to extensive federal, state, local and international laws, regulations, rules and ordinances relating to safety, pollution, protection of the environment, product management and 28 table of contents distribution, and the generation, storage, handling, transportation, treatment, disposal and remediation of hazardous substances and waste materials.",environmental,none
672,"in the ordinary course of business, we are subject to frequent environmental inspections and monitoring and occasional investigations by governmental enforcement authorities.",environmental,none
674,"actual or alleged violations of safety laws, environmental laws or permit requirements could result in restrictions or prohibitions on plant operations or product distribution, substantial civil or criminal sanctions, as well as, under some environmental laws, the assessment of strict liability and/or joint and several liability.",environmental,none
675,"moreover, changes in environmental regulations could inhibit or interrupt our operations, or require us to modify our facilities or operations.",environmental,none
676,"accordingly, environmental or regulatory matters may cause us to incur significant unanticipated losses, costs or liabilities.",environmental,none
678,"ehs capital expenditures we may incur future costs for capital improvements and general compliance under ehs laws, including costs to acquire, maintain and repair pollution control equipment.",environmental,none
681,"remediation liabilities we have incurred, and we may in the future incur, liability to investigate and clean up waste or contamination at our current or former facilities or facilities operated by third parties at which we may have disposed of waste or other materials.",environmental,none
682,"similarly, we may incur costs for the cleanup of waste that was disposed of prior to the purchase of our businesses.",environmental,none
683,"under some circumstances, the scope of our liability may extend to damages to natural resources.",environmental,none
684,"under the comprehensive environmental response, compensation, and liability act and similar state laws, a current or former owner or operator of real property in the u.",environmental,none
686,"may be liable for remediation costs regardless of whether the release or disposal of hazardous substances was in compliance with law at the time it occurred, and a current owner or operator may be liable regardless of whether it owned or operated the facility at the time of the release.",environmental,none
697,forest service notified us that we are a cercla potentially responsible party for contamination originating from the site.,environmental,none
700,"in addition, under the resource conservation and recovery act in the u.",environmental,none
702,"and similar state laws, we may be required to remediate contamination originating from our properties as a condition to our hazardous waste permit.",environmental,none
703,"some of our manufacturing sites have an extended history of industrial chemical manufacturing and use, including on-site waste disposal.",environmental,none
704,"we are aware of soil, groundwater or surface contamination from past operations at some of our sites, and we may find contamination at other sites in the future.",environmental,none
707,"by letter dated march 7, 2006, our former base chemicals and polymers facility in west footscray, australia was issued a clean-up notice by the environment protection authority victoria due to concerns about soil and groundwater contamination emanating from the site.",environmental,none
710,"as of december 31, 2013, we had an accrued liability of approximately $24 million related to estimated environmental remediation costs at this site.",environmental,none
719,"environmental reserves we have accrued liabilities relating to anticipated environmental cleanup obligations, site reclamation and closure costs and known penalties.",environmental,none
722,the environmental liabilities 30 table of contents do not include amounts recorded as asset retirement obligations.,environmental,none
723,"we had accrued $27 million and $34 million for environmental liabilities as of december 31, 2013 and 2012, respectively.",environmental,none
726,"we may incur losses for environmental remediation in excess of the amounts accrued; however, we are not able to estimate the amount or range of such potential excess.",environmental,none
731,"where warranted, evaluation of substitute chemicals will be an important element of our ongoing manufacturing sustainability efforts.",environmental,none
735,"greenhouse gas regulation globally, our operations are increasingly subject to regulations that seek to reduce emissions of greenhouse gases, such as carbon dioxide and methane, which may be contributing to changes in the earth's climate.",environmental,none
736,"at the durban negotiations of the conference of the parties to the kyoto protocol in 2012, a limited group of nations, including the european union, agreed to a second commitment period for the kyoto protocol, an international treaty that provides for reductions in ghg emissions.",environmental,action
737,"more significantly, the european union ghg emissions trading system, established pursuant to the kyoto protocol to reduce ghg emissions in the european union, continues in its third phase.",environmental,action
738,the european union parliament continues with a process to formalized backloading—the withholding of ghg allowances to prop up carbon prices.,environmental,action
739,"in addition, the european union has recently announced its intentions to cut ghg emissions to 40% below 1990 levels by 2040 and impose a 27% renewable energy requirement at the european union level.",environmental,action
743,"in june 2013, china implemented its first pilot carbon emissions exchange in shenzhen, china.",environmental,action
744,"pilot carbon emissions schemes have also begun in beijing, shanghai, guangdong, and tianjin.",environmental,action
747,31 table of contents federal climate change legislation in the u.,environmental,none
750,"as a result, domestic efforts to curb ghg emissions will continue to be led by the u.",environmental,none
752,environmental protection agency's ghg regulations and the efforts of states.,environmental,none
754,significant expansions of our existing facilities or construction of new facilities may be subject to the clean air act's prevention of significant deterioration requirements under the epa's ghg tailoring rule.,environmental,none
755,"some of our facilities are also subject to the epa's mandatory reporting of greenhouse gases rule, and any further regulation may increase our operational costs.",environmental,none
756,"under a consent decree with states and environmental groups, the epa is due to propose new source performance standards for ghg emissions from refineries.",environmental,none
759,"we are already managing and reporting ghg emissions, to varying degrees, as required by law for our sites in locations subject to kyoto protocol obligations and/or european union emissions trading scheme requirements.",environmental,action
760,"although these sites are subject to existing ghg legislation, few have experienced or anticipate significant cost increases as a result of these programs, although it is possible that ghg emission restrictions may increase over time.",environmental,none
761,"potential consequences of such restrictions include capital requirements to modify assets to meet ghg emission restrictions and/or increases in energy costs above the level of general inflation, as well as direct compliance costs.",environmental,none
763,"finally, it should be noted that some scientists have concluded that increasing concentrations of ghgs in the earth's atmosphere may produce climate changes that have significant physical effects, such as increased frequency and severity of storms, droughts, and floods and other climatic events.",environmental,none
769,"specifically, the epa alleged violations at our port neches, texas facility from 2007-2012 for flare operations not consistent with good pollution control practice and not in compliance with certain flare-related regulations.",environmental,none
808,"gulf coast, which is subject to hurricanes.",environmental,none
810,"while we maintain business recovery plans that are intended to allow us to recover from natural disasters or other events that could disrupt our business, we cannot provide assurances that our plans would fully protect us from all such disasters or events that might increase in frequency or intensity due to climate change.",environmental,none
811,"in addition, insurance may not adequately compensate us from any losses incurred as a result of natural or other disasters.",environmental,none
812,"in areas prone to frequent natural or other disasters, insurance may become increasingly expensive or not available at all.",environmental,none
813,"furthermore, some potential climate-driven losses, particularly inundation due to sea-level rise, may pose long-term risks to our physical facilities such that operations cannot be restored in their current locations.",environmental,none
847,"completion of the proposed acquisition of the performance additives and titanium dioxide businesses of rockwood holdings, inc.",environmental,none
850,"on september 17, 2013, we entered into an agreement to acquire the performance additives and titanium dioxide businesses of rockwood holdings, inc.",environmental,none
863,"most recently, in september 2013, we agreed to buy the performance additives and titanium dioxide businesses of rockwood holdings, inc.",environmental,action
866,this acquisition would position our company as the second largest global producer of titanium dioxide and inorganic color pigments.,environmental,none
926,"these hazards include: chemical spills, pipeline leaks and ruptures, storage tank leaks, discharges or releases of toxic or hazardous substances or gases and other hazards incident to the manufacturing, processing, handling, transportation and storage of dangerous chemicals.",environmental,none
927,"we are also potentially subject to other hazards, including natural disasters and severe weather; explosions and fires; transportation problems, including interruptions, spills and leaks; mechanical failures; unscheduled downtimes; labor difficulties; remediation complications; and other risks.",environmental,none
928,"many potential hazards can cause bodily injury and loss of life, severe damage to or destruction of property and equipment and environmental damage, and may result in suspension of operations and the imposition of civil or criminal penalties and liabilities.",environmental,none
930,"we maintain property, business interruption, products liability and casualty insurance policies which we believe are in accordance with customary industry practices, as well as insurance policies covering other types of risks, including pollution legal liability insurance, but we are not fully insured 39 table of contents against all potential hazards and risks incident to our business.",environmental,none
942,"in addition, we rely on a number of vendors and suppliers and collaborations with other industry participants to provide us with chemicals, feedstocks and other raw materials, along with energy sources and, in certain cases, facilities, that we need to operate our business.",environmental,none
947,"we are subject to many environmental, health and safety regulations that may result in unanticipated costs or liabilities, which could reduce our profitability.",environmental,none
948,"we are subject to extensive federal, state, local and foreign laws, regulations, rules and ordinances relating to pollution, protection of the environment and human health and safety, and the generation, storage, handling, transportation, treatment, disposal and remediation of hazardous substances and waste materials.",environmental,none
949,"actual or alleged violations of environmental, health and safety or ehs, laws or permit requirements could result in restrictions or prohibitions on plant operations and substantial civil or criminal sanctions, as well as, under some ehs laws, the assessment of strict liability and/or joint and several liability.",environmental,none
950,"governmental, regulatory and societal demands for increasing levels of product safety and environmental protection could result in increased pressure for more stringent regulatory control with respect to the chemical industry.",environmental,none
953,"accordingly, environmental or regulatory matters may cause us to incur significant unanticipated losses, costs or liabilities, which could reduce our profitability.",environmental,none
957,"furthermore, we may be liable for the costs of investigating and cleaning up environmental contamination on or from our properties or at off-site locations where we disposed of or arranged for the disposal or treatment of hazardous materials or from disposal activities that pre-dated our purchase of our businesses.",environmental,none
960,"we face risks arising from various legal actions, including matters relating to antitrust, product liability, intellectual property and environmental claims.",environmental,none
981,"41 table of contents conflicts, military actions, terrorist attacks and general instability, in particular in certain energy-producing nations, along with increased security regulations related to our industry, could adversely affect our business.",environmental,none
995,"we produce mtbe, an oxygenate that is blended with gasoline to reduce vehicle air emissions and to enhance the octane rating of gasoline.",environmental,action
996,"because mtbe has contaminated some water supplies, its use has become controversial in the u.",environmental,none
1009,regulatory requirements to reduce emissions of greenhouse gases could have an adverse effect on our results of operations.,environmental,none
