,text,environmental,action
79,"our principal executive offices are located at 10003 woodloch forest drive, the woodlands, texas 77380, and our telephone number at that location is  719-6000.",environmental,none
83,"we are a leading global producer in many of our key product lines, including mdi, amines, surfactants, maleic anhydride, epoxy-based polymer formulations, textile chemicals, dyes, titanium dioxide and color pigments.",environmental,none
99,", zaber & zubair pigments and additives   titanium dioxide, functional additives, color pigments, timber treatment and water treatment chemicals   paints and coatings, plastics, paper, printing inks, ceramics, pharmaceuticals, food, cosmetics, wood protection and water purity   akzonobel, basf, clariant, jotun, polyone, ppg for additional information about our business segments, including related financial information, see note 25.",environmental,none
121,mtbe is an oxygenate that is blended with gasoline to reduce harmful vehicle emissions and to enhance the octane rating of gasoline.,environmental,none
166,    mtbe is an oxygenate that is blended with gasoline to reduce harmful vehicle emissions and to enhance the octane rating of gasoline.,environmental,none
299,carbonates.,environmental,none
300,    ethylene and propylene carbonates are manufactured by reacting eo and po with carbon dioxide.,environmental,none
302,"they are also increasingly being used as a photo-resist solvent in the manufacture of printed circuit boards, solar panels, lcd screens and the production of lithium batteries.",environmental,none
312,"our maleic anhydride technology is a proprietary fixed bed process with solvent recovery and is characterized by low butane consumption and an energy-efficient, high-percentage solvent recovery system.",environmental,none
373,"in addition to internally produced raw materials, the main raw materials used in the production of our amines are ethylene dichloride, caustic soda, ammonia, hydrogen, methylamines and acrylonitrile.",environmental,none
423,"our materials address requirements such as long open times for large area applications, fast-curing adhesives for early removal and rapid through-put, resistance to high temperature, water and chemicals, thixotropy for gap-filling or vertical applications, and toughness, impact-resistance and elasticity to cope with different thermal expansions when bonding larger structures.",environmental,none
485,"pretreatment and dyeing auxiliaries ensure that these fabrics are processed efficiently and effectively—cleaning the fabrics with fewer chemicals, less energy and less water and thereby minimizing the environmental footprint and reducing the processing costs.",environmental,action
494,"process competence—applying know-how and expertise to improve customers' processes—allows us to utilize our technical service to reduce cost, enhance efficiency and offer recommendations to improve the ecological and environmental footprint in the wet processing of textiles.",environmental,action
516,"on october 1, 2014, we completed the acquisition of the performance additives and titanium dioxide businesses of rockwood holdings, inc.",environmental,none
530,"on february 12, 2015, we announced a plan to close the 'black end' manufacturing operations and ancillary activities at our calais, france site, which reduced our titanium dioxide capacity by approximately 100 kilotons, or 13% of our european titanium dioxide capacity.",environmental,action
537,we remain committed to a separation of our titanium dioxide business and we are actively exploring additional possibilities outside of an initial public offering or a spin-off.,environmental,action
541,products and markets titanium dioxide.,environmental,none
