,text,environmental,action
83,"we are a leading global producer in many of our key product lines, including mdi, amines, surfactants, epoxy-based polymer formulations, textile chemicals, dyes, maleic anhydride and titanium dioxide.",environmental,none
106,", guilford mills, polartec, tencate, zaber & zubair pigments   titanium dioxide   paints and coatings, plastics, paper, printing inks, fibers and ceramics   akzo, clariant, jotun, polyone, ppg 3 table of contents polyurethanes general we are a leading global manufacturer and marketer of a broad range of polyurethane chemicals, including mdi products, po, polyols, pg and tpu.",environmental,none
121,mtbe is an oxygenate that is blended with gasoline to reduce harmful vehicle emissions and to enhance the octane rating of gasoline.,environmental,none
122,"see —environmental, health and safety matters—mtbe developments below.",environmental,none
159,    mtbe is an oxygenate that is blended with gasoline to reduce harmful vehicle emissions and to enhance the octane rating of gasoline.,environmental,none
163,"see —environmental, health and safety matters—mtbe developments below and part i.",environmental,none
288,carbonates.,environmental,none
289,    ethylene and propylene carbonates are manufactured by reacting eo and po with carbon dioxide.,environmental,none
291,"they are also increasingly being used as a photo-resist solvent in the manufacture of printed circuit boards, solar panels, lcd screens and the production of lithium batteries.",environmental,none
324,"our maleic anhydride technology is a proprietary fixed bed process with solvent recovery and is characterized by low butane consumption and an energy- efficient, high-percentage-recovery solvent recovery system.",environmental,none
429,"  we sell our adhesive products on a global basis into diverse, industry-specific markets, which include the aerospace, wind turbine, lng transport, filterbonding, solar cell and other industrial applications markets.",environmental,none
435,"the purpose of these products is to insulate, protect or shield either the environment from electrical current or electrical devices from the environment, such as temperature or humidity.",environmental,none
514,"pretreatment and dyeing auxiliaries ensure that these fabrics are processed efficiently and effectively—cleaning the fabrics with fewer chemicals, less energy and less water and thereby minimizing the environmental footprint and reducing the processing costs.",environmental,action
540,pigments general we are a global leader in the creation of titanium dioxide solutions.,environmental,none
541,"titanium dioxide is a white inert pigment which provides whiteness, opacity and brightness to thousands of everyday items including paints, plastics, paper, inks, food and personal care products.",environmental,none
543,"we use our expertise in titanium dioxide to create solutions for our customers that can deliver much more than whiteness and opacity including freeing capacity, reducing energy use and enabling infrastructure to last longer.",environmental,action
544,"our tioxide® and deltio® brands are made in our seven manufacturing facilities around the globe and service over 1,200 customers in practically all industries and geographic regions.",environmental,none
548,"for example, our award winning range of free flow deltio® pigments, helps our customers improve their working environments and reduce energy consumption.",environmental,action
550,"in 2011 we approved the investment of approximately $40 million at our calais site to build a new magnesium sulfate fertilizer manufacturing operation that will increase the efficiency, sustainability and cost effectiveness of the site.",environmental,action
552,"products and markets historically, global titanium dioxide demand growth rates tend to closely track global gdp growth rates.",environmental,none
565,"23 table of contents aside from the five major producers which include huntsman, the titanium dioxide industry currently has a large number of small regional or local producers, especially in china.",environmental,none
566,"titanium dioxide supply has historically kept pace with increases in demand as producers increased capacity through low cost incremental debottlenecks, efficiency improvements and, more recently, new capacity additions in china.",environmental,action
567,"during periods of low titanium dioxide demand, the industry experiences high stock levels and consequently reduces production to manage working capital.",environmental,none
570,"sales and marketing approximately 85% of our titanium dioxide sales are made through our global sales and technical services network, enabling us to work closely with our customers.",environmental,action
571,our focused sales effort and local manufacturing presence have allowed us to achieve leading market shares in a number of the countries where we manufacture titanium dioxide.,environmental,action
574,"we focus a lot of research and development in the creation of solutions that can help to address the megatrends that we see emerging as evidenced by our deltio® pigments range which helps our customers to liberate capacity, reduce energy, improve working environments and reduce waste.",environmental,action
576,approximately 72% of our titanium dioxide capacity is located in western europe.,environmental,none
585,"the new facility will enable the closure of part of our calais effluent treatment plant, which is expected to increase the efficiency, sustainability and cost effectiveness of the entire calais site.",environmental,action
594,raw materials the primary raw materials used to produce titanium dioxide are titanium bearing ores.,environmental,none
603,titanium dioxide producers extract titanium from ores and process it into pigmentary titanium dioxide using either the chloride or sulfate process.,environmental,none
606,co-products from both processes require treatment prior to disposal in order to comply with environmental regulations.,environmental,none
615,"moreover, the sulphate based titanium dioxide technology used by our pigments business is widely available.",environmental,none
649,"environmental, health and safety matters general we are subject to extensive federal, state, local and international laws, regulations, rules and ordinances relating to safety, pollution, protection of the environment, product management and distribution, and the generation, storage, handling, transportation, treatment, disposal and remediation of hazardous substances and waste materials.",environmental,none
650,"in the ordinary course of business, we are subject to frequent environmental inspections and monitoring and occasional investigations by governmental enforcement authorities.",environmental,none
652,"actual or alleged violations of safety laws, environmental laws or permit requirements could result in restrictions or prohibitions on plant operations or product distribution, substantial civil or criminal sanctions, as well as, under some environmental laws, the assessment of strict liability and/or joint and several liability.",environmental,none
653,"moreover, changes in environmental regulations could inhibit or interrupt our operations, or require us to modify our facilities or operations.",environmental,none
654,"accordingly, environmental or regulatory matters may cause us to incur significant unanticipated losses, costs or liabilities.",environmental,none
656,"ehs capital expenditures we may incur future costs for capital improvements and general compliance under ehs laws, including costs to acquire, maintain and repair pollution control equipment.",environmental,none
659,"remediation liabilities we have incurred, and we may in the future incur, liability to investigate and clean up waste or contamination at our current or former facilities or facilities operated by third parties at which we may have disposed of waste or other materials.",environmental,none
660,"similarly, we may incur costs for the cleanup of waste that 27 table of contents was disposed of prior to the purchase of our businesses.",environmental,none
661,"under some circumstances, the scope of our liability may extend to damages to natural resources.",environmental,none
662,"under the comprehensive environmental response, compensation and liability act and similar state laws, a current or former owner or operator of real property may be liable for remediation costs regardless of whether the release or disposal of hazardous substances was in compliance with law at the time it occurred, and a current owner or operator may be liable regardless of whether it owned or operated the facility at the time of the release.",environmental,none
671,forest service notified us that we are a cercla potentially responsible party for the mine site involving selenium contaminated surface water.,environmental,none
