,text,environmental,action
3,"2013 10K bazadebezolkohpepadr=618498294 Table of ContentsUNITED STATESSECURITIES AND EXCHANGE COMMISSIONWashington, D.",environmental,none
42,We are committed to global sustainability and are advancing responsible eco-practices and solutions.,environmental,action
68,3Albemarle Corporation and Subsidiaries We also produce antioxidants used in fuels and lubricants.,environmental,none
69,"Our line of Ethanox® fuel and lubricant antioxidants is used by refiners and fuel marketers to extend fuel storage life and protect fuel systems, and by oil marketers and lubricant manufacturers to extend the useful life of lubricating oils, fluids and greases used in engines and various types of machinery.",environmental,none
113,"Their application enables the upgrading of oil fractions to clean fuels and other usable oil products by removing sulfur, nitrogen and other impurities from the feedstock.",environmental,none
114,"In addition, they improve product properties by adding hydrogen and in some cases improve the performance of downstream catalysts and processes.",environmental,action
117,"Our FCC additives are used to reduce emissions of sulfur dioxide and nitrogen oxide in FCC units and to increase liquefied petroleum gas olefins yield, such as propylene, and to boost octane in gasoline.",environmental,none
127,"In electronic materials, we manufacture and sell high purity metal organic products into electronic applications such as the production of light emitting diodes for displays and general lighting, as well as other products used in the production of solar cells.",environmental,none
164,"Our products are used in chemical synthesis, oil and gas well drilling and completion fluids, mercury control, paper manufacturing, water purification, beef and poultry processing and various other industrial applications.",environmental,none
175,"Our agrichemicals are sold to agrichemical manufacturers and distributors that produce and distribute finished agricultural herbicides, insecticides, fungicides and soil fumigants.",environmental,none
176,"Our products include orthoalkylated anilines used in the acetanilide family of pre-emergent herbicides used with corn, soybeans and other crops and methyl bromide, which is used as a soil fumigant.",environmental,none
178,"In recent years, the market for methyl bromide has changed significantly, driven by the Montreal Protocol of 1990 and related regulations prompted by findings regarding the chemical’s potential to deplete the ozone layer.",environmental,none
179,"Methyl bromide is injected into the soil by end users before planting to eliminate bacteria, nematodes, fungus and weeds.",environmental,none
182,In accordance with the Montreal Protocol and the U.,environmental,none
184,"Clean Air Act, completion of the phase-out of methyl bromide as a fumigant in the U.",environmental,none
191,"Environmental Protection Agency, the U.",environmental,none
225,"Through research and development, we continue to seek increased margins by introducing value-added products and proprietary processes and innovative green chemistry technologies.",environmental,action
226,"Our green chemistry efforts focus on the development of products that benefit society in a manner that minimizes waste and the use of raw materials and energy, avoids the use of toxic reagents and solvents and is produced in safe, environmentally friendly manufacturing processes.",environmental,action
227,Green chemistry is encouraged with our researchers through periodic focus group discussions and special rewards and recognition for outstanding new green developments.,environmental,action
230,"Flame retardant 7Albemarle Corporation and Subsidiaries research is focused primarily on developing new flame retardants which not only meet the higher performance requirements required by today’s polymer producers, formulators and original equipment manufacturers but which also have superior toxicological and environmental profiles, such as our GreenArmor™ flame retardant product, that are greatly enhanced in both end product performance and environmental responsibility.",environmental,action
234,Refinery catalysts research is focused primarily on the development of more effective catalysts and related additives to produce clean fuels and to maximize the production of the highest value refined products.,environmental,action
237,Another area of research is the development of bromine-based products for use as biocides in industrial water treatment and food safety applications and as additives used to reduce mercury emissions from coal-fired power plants.,environmental,action
253,"We devote significant resources and have developed and implemented comprehensive programs to promote the health and safety of our employees and we maintain an active health, safety and environmental program.",environmental,action
274,"8Albemarle Corporation and Subsidiaries Recently, there has been increased scrutiny of certain brominated flame retardants by regulatory authorities, legislative bodies and environmental interest groups in various countries.",environmental,none
276,"Concern about the impact of some of our products on human health or the environment may lead to regulation, or reaction in our markets independent of regulation.",environmental,none
277,"Environmental RegulationWe are subject to numerous foreign, federal, state and local environmental laws and regulations, including those governing the discharge of pollutants into the air and water, the management and disposal of hazardous substances and wastes and the cleanup of contaminated properties.",environmental,none
281,"Liabilities associated with the investigation and cleanup of hazardous substances, as well as personal injury, property damages or natural resource damages arising from the release of, or exposure to, such hazardous substances, may be imposed in many situations without regard to violations of laws or regulations or other fault, and may also be imposed jointly and severally .",environmental,none
283,"We are subject to such laws, including the federal Comprehensive Environmental Response, Compensation and Liability Act, commonly known as CERCLA or Superfund, in the U.",environmental,none
291,Accruals for these matters are included in the environmental reserve discussed below.,environmental,none
