,text,environmental,action
1,"htm 10-K 10-K bazadebezolkohpepadr=618498294 UNITED STATESSECURITIES AND EXCHANGE COMMISSIONWashington, D.",environmental,none
80,"Lithium—Raw Materials and Significant Supply ContractsWe obtain lithium through solar evaporation of our ponds at the Salar de Atacama, in Chile, and in Silver Peak, Nevada.",environmental,none
87,In February 2016 we announced that we were granted approval by the Environmental Assessment Commission of the Antofagasta Region to increase our currently authorized lithium brine removal rate in the Salar de Atacama.,environmental,action
91,"In February 2016, we also announced that we entered into a Memorandum of Understanding with the Chilean government that provides sufficient lithium to support the production of 70,000 metric tons annually of technical and battery grade lithium carbonate and 6,000 metric tons annually of lithium chloride in La Negra, over a 27-year period, beginning January 1, 2017.",environmental,action
103,government could support the current levels of lithium carbonate production for approximately 20 years.,environmental,none
119,"In electronic materials, we manufacture and sell high purity metal organic products into electronic applications such as the production of light-emitting diodes for displays and general lighting, as well as other products used in the production of solar cells.",environmental,none
163,"Their application enables the upgrading of oil fractions to clean fuels and other usable oil feedstocks and products by removing sulfur, nitrogen and other impurities from the feedstock.",environmental,none
164,"In addition, they improve product properties by adding hydrogen and in some cases improve the performance of downstream catalysts and processes.",environmental,action
167,"Our FCC additives are used to reduce emissions of sulfur dioxide and nitrogen oxide in FCC units and to increase liquefied petroleum gas olefins yield, such as propylene, and to boost octane in gasoline.",environmental,none
219,"Through research and development, we continue to seek increased margins by introducing value-added products and proprietary processes and innovative green chemistry technologies.",environmental,action
220,"Our green chemistry efforts focus on the development of products that benefit society in a manner that minimizes waste and the use of raw materials and energy, avoids the use of toxic reagents and solvents and is produced in safe, environmentally friendly manufacturing processes.",environmental,action
221,Green chemistry is encouraged with our researchers through periodic focus group discussions and special rewards and recognition for outstanding new green developments.,environmental,action
224,"Fire safety solutions research is focused primarily on developing new flame retardants which not only meet the higher performance requirements required by today’s polymer producers, formulators and original equipment manufacturers but which also have superior toxicological and environmental profiles.",environmental,action
225,Another area of research is the development of bromine-based products for use as biocides in industrial water treatment and food safety applications and as additives used to reduce mercury emissions from coal-fired power plants.,environmental,action
231,Refinery catalysts research is focused primarily on the development of more effective catalysts and related additives to produce clean fuels and to maximize the production of the highest value refined products through hydrotreating catalyst technologies.,environmental,action
232,"With regard to HOU, we focus our efforts on the production of more and better fuels from more complex and lower accessible/convertible feedstock through the use of novel FCC technologies.",environmental,action
233,Chemetall Surface Treatment’s research and development activities are focused on the development of products to meet customer demands that are also in accordance with regional environmental requirements.,environmental,action
247,"We devote significant resources and have developed and implemented comprehensive programs to promote the health and safety of our employees and we maintain an active health, safety and environmental program.",environmental,action
258,"Historically, there has been scrutiny of certain brominated flame retardants by regulatory authorities, legislative bodies and environmental interest groups in various countries.",environmental,none
260,"Concern about the impact of some of our products on human health or the environment may lead to regulation, or reaction in our markets independent of regulation.",environmental,none
261,"Environmental RegulationWe are subject to numerous foreign, federal, state and local environmental laws and regulations, including those governing the discharge of pollutants into the air and water, the management and disposal of hazardous substances and wastes and the cleanup of contaminated properties.",environmental,none
265,"Liabilities associated with the investigation and cleanup of hazardous substances, as well as personal injury, property damages or natural resource damages arising from the release of, or exposure to, such hazardous substances, may be imposed in many situations without regard to violations of laws or regulations or other fault, and may also be imposed jointly and severally .",environmental,none
267,"We are subject to such laws, including the federal Comprehensive Environmental Response, Compensation and Liability Act, commonly known as CERCLA or Superfund, in the U.",environmental,none
275,Accruals for these matters are included in the environmental reserve discussed below.,environmental,none
276,"Our management is actively involved in evaluating environmental matters and, based on information currently available to us, we have concluded that our outstanding environmental liabilities for unresolved waste sites currently known to us should not have a material effect on our operations.",environmental,action
277,We use and generate hazardous substances and wastes in our operations and may become subject to claims for personal injury and/or property damage relating to the release of such substances into the environment.,environmental,none
278,"In addition, some of our current properties are, or have been, used for industrial purposes, which could contain currently unknown contamination that could expose us to governmental requirements or claims relating to environmental remediation, personal injury and/or property damage.",environmental,none
280,"These risks could expose us to substantial liability for personal injury, wrongful death, property damage, loss of production, pollution and other environmental damages.",environmental,none
284,"However, we believe that the likelihood of an environmental-related catastrophic occurrence or a series of occurrences that could materially affect the Company’s financial position or competitiveness is low.",environmental,none
285,We record accruals for environmental matters when it is probable that a liability has been incurred and the amount of the liability can be reasonably estimated.,environmental,none
286,It is possible that new information or future developments could require us to reassess our potential exposure related to environmental matters.,environmental,none
287,We may incur significant costs and liabilities in order to comply with existing environmental laws and regulations.,environmental,none
288,"It is also possible that other developments, such as increasingly strict 9Albemarle Corporation and Subsidiaries environmental laws, regulations and orders of regulatory agencies, as well as claims for damages to property and the environment or injuries to employees and other persons resulting from our current or past operations, could result in substantial costs and liabilities in the future.",environmental,none
291,"We cannot assure you that, as a result of former, current or future operations, there will not be some future impact on us relating to new regulations or additional environmental remediation or restoration liabilities.",environmental,none
292,See “Safety and Environmental Matters” in Item 7.,environmental,none
294,Climate ChangeThe growing concerns about climate change and the related imposition by governments of more stringent regulations may provide us with new or expanded business opportunities.,environmental,none
295,"The Company seeks to capitalize on the “green revolution” by providing solutions to companies pursuing alternative fuel products and technologies, emission control technologies, alternative transportation vehicles and energy storage technologies and other similar solutions.",environmental,action
296,"As demand for, and legislation mandating or incentivizing the use of alternative fuel technologies that limit or eliminate greenhouse gas emissions increase, we continue to monitor the market and offer solutions where we have appropriate technology and believe we are well positioned to take advantage of opportunities that may arise if new legislation is enacted.",environmental,action
302,"Through the acquisition of Rockwood, we became a leading integrated and low cost global producer of lithium and lithium compounds used in lithium-ion batteries for electronic devices, alternative transportation vehicles and energy storage technologies, meeting the significant growth in global demand for these products.",environmental,none
304,The acquisition of Rockwood reflects our commitment to drive sustainable growth.,environmental,none
344,"Our Corporate Governance Guidelines, Code of Business Conduct and the charters of the Audit and Finance, Health, Safety and Environment, Executive Compensation, and Nominating and Governance Committees are also available on our website and are available in print to any shareholder upon request by writing to Investor Relations, 451 Florida Street, Baton Rouge, Louisiana 70801, or by calling  388-8011.",environmental,none
396,"Sales of our agrichemicals are also subject to fluctuation as demand varies depending on climate and other environmental conditions, which 12Albemarle Corporation and Subsidiaries may prevent or reduce farming for extended periods.",environmental,none
505,"15Albemarle Corporation and Subsidiaries Our business could be adversely affected by environmental, health and safety laws and regulations to which our raw materials, products and facilities are subject.",environmental,none
506,"In the jurisdictions in which we operate, we are subject to numerous federal, state and local environmental, health and safety laws and regulations, including those governing the discharge of pollutants into the air and water, the management and disposal of hazardous substances and wastes and the cleanup of contaminated properties.",environmental,none
512,Environmental laws have become increasingly strict in recent years.,environmental,none
514,"Compliance with environmental laws generally increases the costs of manufacturing, the cost of registration/approval requirements, the costs of transportation and storage of raw materials and finished products, as well as the costs of the storage and disposal of wastes, and could have a material adverse effect on our results of operations.",environmental,none
516,"Furthermore, environmental laws are subject to change and have tended to become stricter over time.",environmental,none
517,"Such changes in environmental laws or their interpretation, or the enactment of new environmental laws, could result in materially increased capital expenditures and compliance costs.",environmental,none
518,"Violations of environmental, health and safety laws and regulations may subject us to fines, penalties and other liabilities and may require us to change certain business practices or curtail production.",environmental,none
519,"If we violate environmental, health and safety laws or regulations, in addition to being required to correct such violations, we can be held liable in administrative, civil or criminal proceedings for substantial fines and other sanctions could be imposed that could disrupt or limit our operations.",environmental,none
520,"Liabilities associated with the investigation and cleanup of hazardous substances, as well as personal injury, property damages or natural resource damages arising from the release of, or exposure to, such hazardous substances, may be imposed in many situations without regard to violations of laws or regulations or other fault, and may also be imposed jointly and severally .",environmental,none
523,"We use, and in the past have used, hazardous substances at many of our facilities, and we have in the past, and may in the future, be subject to claims relating to exposure to hazardous materials and the associated liabilities may be material.",environmental,none
524,"We also have generated, and continue to generate, hazardous wastes at a number of our facilities.",environmental,none
526,We have also given contractual indemnities for environmental conditions relating to facilities we no longer own or operate.,environmental,none
527,"The nature of our business, including historical operations at our current and former facilities, exposes us to risks of liability under these laws and regulations due to the production, storage, use, transportation and sale of materials that can cause contamination or personal injury if released into the environment.",environmental,none
