,text,environmental,action
60,"in addition, we produce ethylene co-products including chemical grade propylene, crude butadiene, pyrolysis gasoline and hydrogen.",environmental,none
91,"we own a 50% interest in a 104-mile natural gas liquids pipeline from mont belvieu, texas to our lake charles complex.",environmental,none
157,the modernization is expected to reduce costs and improve operating efficiency and energy consumption.,environmental,action
160,"products made from pvc are used in construction materials ranging from water and sewer systems to home and commercial applications for fence, deck, window and door systems.",environmental,none
200,"environmental and other regulation as is common in our industry, obtaining, producing and distributing many of our products involves the use, storage, transportation and disposal of large quantities of toxic and hazardous materials, and our manufacturing operations require the generation and disposal of large quantities of hazardous wastes.",environmental,none
201,"we are subject to extensive, evolving and increasingly stringent federal, state and local environmental laws and regulations, which address, among other things, the following: •emissions to the air; •discharges to land or to surface and subsurface waters; •other releases into the environment; •remediation of contaminated sites; •generation, handling, storage, transportation, treatment and disposal of waste materials; and •maintenance of safe conditions in the workplace.",environmental,none
202,we are subject to environmental laws and regulations that can impose civil and criminal sanctions and that may require us to mitigate the effects of contamination caused by the release or disposal of hazardous substances into the environment.,environmental,none
203,"an owner or operator of property may be held strictly liable for remediating contamination without regard to whether that person caused the contamination, and without regard to whether the practices that resulted in the contamination were legal at the time they occurred.",environmental,none
208,"the soil and groundwater at the complex, which does not include our nearby pvc facility, had been extensively contaminated under goodrich's operations.",environmental,none
212,the current environmental remediation activities at the calvert city complex do not have a specified termination date but are expected to last for the foreseeable future.,environmental,none
213,the costs incurred by us that have been invoiced to polyone to provide the environmental remediation services were $2.,environmental,none
222,"in 2003, the kentucky environmental and public protection cabinet re-issued goodrich's resource conservation and recovery act permit which requires goodrich to remediate contamination at the calvert city manufacturing complex.",environmental,none
232,environmental protection agency requesting the epa's assistance in addressing contamination at the calvert city site under the u.,environmental,none
234,"comprehensive environmental response, compensation, and liability act .",environmental,none
237,"during the past two years, the epa has directed goodrich and polyone to conduct additional investigation activities at the landfill and at our plant.",environmental,action
251,"as a result of the audit, the epa alleged that we had violated certain environmental laws and regulations pertaining to ldar.",environmental,none
255,"it is our policy to comply with all environmental, health and safety requirements and to provide safe and environmentally sound workplaces for our employees.",environmental,none
258,4 million related to environmental compliance.,environmental,none
261,"0 million in 2014, respectively, related to environmental compliance.",environmental,none
262,the expected 2013 and 2014 capital expenditures are relatively higher than the amounts we have actually spent related to environmental compliance in recent years in large part due to new epa regulations such as the pvc maximum achievable control technology rules and increasingly stringent requirements associated with environmental permits.,environmental,none
264,we anticipate that stringent environmental regulations will continue to be imposed on us and the industry in general.,environmental,none
266,"it is difficult to estimate the future costs of environmental protection and remediation because of many uncertainties, including uncertainties about the status of laws, regulations and information related to individual locations and sites and our ability to rely on third parties to carry out such remediation.",environmental,none
267,"subject to the foregoing, but taking into consideration our experience regarding environmental matters of a similar nature and facts currently known, and except for the outcome of pending litigation and regulatory proceedings, which we cannot predict, but which could have a material adverse effect on us, we believe that capital expenditures and remedial actions to comply with existing laws governing environmental protection will not have a material adverse effect on our business and financial results.",environmental,none
334,producers are disproportionately reliant on natural gas and natural gas liquids as an energy source and as a raw material.,environmental,none
344,"examples of external factors include: •general economic conditions; •the level of business activity in the industries that use our products; •competitor action; •technological innovations; •currency fluctuations; •international events and circumstances; •war, terrorism and civil unrest;•governmental regulation in the united states and abroad; •severe weather and natural disasters; and •credit worthiness of customers and vendors.",environmental,none
376,these changes could include: •the emergence of new domestic and international competitors; •the rate of capacity additions by competitors; •changes in customer base due to mergers; •the intensification of price competition in our markets; •the introduction of new or substitute products by competitors; •the technological innovations of competitors; and •the adoption of new environmental laws and regulatory requirements.,environmental,none
379,"according to some experts, global climate change could result in heightened hurricane activity in the gulf of mexico.",environmental,none
380,"if this materializes, severe weather and natural disaster hazards could pose an even greater risk for our facilities, particularly those in louisiana.",environmental,none
381,"all these hazards can cause personal injury and loss of life, catastrophic damage to or destruction of property and equipment and environmental damage, and may result in a suspension of operations and the imposition of civil or criminal 10table of contentspenalties.",environmental,none
382,we could become subject to environmental claims brought by governmental entities or third parties.,environmental,none
387,"our operations and assets are subject to extensive environmental, health and safety laws and regulations.",environmental,none
388,we use large quantities of hazardous substances and generate large quantities of hazardous wastes in our manufacturing operations.,environmental,none
389,"due to the large quantities of hazardous substances and wastes, our industry is highly regulated and monitored by various environmental regulatory authorities.",environmental,none
390,"as such, we are subject to extensive federal, state and local laws and regulations pertaining to pollution and protection of the environment, health and safety, which govern, among other things, emissions to the air, discharges onto land or waters, the maintenance of safe conditions in the workplace, the remediation of contaminated sites, and the generation, handling, storage, transportation, treatment and disposal of waste materials.",environmental,none
392,"many of these laws and regulations provide for substantial fines and potential criminal sanctions for violations and require the installation of costly pollution control equipment or operational changes to limit pollution emissions and/or reduce the likelihood or impact of hazardous substance releases, whether permitted or not.",environmental,action
395,"the rule sets emission limits and work practice standards for total organic air toxics and for three specific air toxics: vinyl chloride, chlorinated di-benzo dioxins and furans, and hydrogen chloride and includes requirements to demonstrate initial and continuous compliance with the emission standards.",environmental,none
400,legislation to regulate emissions of greenhouse gases has been introduced in the u.,environmental,none
404,"and internationally, regarding the impact of these gases and possible means for their regulation.",environmental,none
405,some of the proposals would require industries to meet stringent new standards that would require substantial reductions in carbon emissions.,environmental,none
407,"in addition, efforts have been made and continue to be made in the international community toward the adoption of international treaties or protocols that would address global climate change issues, such as the united nations climate change conference in doha in 2012.",environmental,action
410,", the epa has adopted rules requiring the reporting of ghg emissions from specified large ghg emission sources, on an annual basis.",environmental,action
411,"further, following a finding by the epa that certain ghgs represent an endangerment to human health, the epa finalized a rule to address permitting of ghg emissions from stationary sources under the clean air act's new source review prevention of significant deterioration and title v programs.",environmental,action
412,"this final rule tailors the psd and title v programs to apply to certain stationary sources of ghg emissions in a multi-step process, with the largest sources first subject to permitting.",environmental,none
413,"facilities required to obtain psd permits for their ghg emissions also will be required to reduce those emissions according to best available control technology standards for ghgs that will be established by the states or, in some instances, by the epa on a case-by-case basis.",environmental,action
414,"legislation or regulation by the epa, and any international agreements to which the united states may become a party, that control or limit ghg emissions or otherwise seek to address climate change could adversely affect our energy supply and costs, the costs of raw materials derived from fossil fuels, our general costs of production and the demand for our products.",environmental,none
418,"environmental laws may have a significant effect on the nature and scope of, and responsibility for, cleanup of contamination at our current and former operating facilities, the costs of transportation and storage of raw materials and finished products, the costs of reducing emissions and the costs of the storage and disposal of wastewater.",environmental,none
419,"in addition, the federal cercla and similar state laws impose joint and several liability for the costs of remedial investigations and actions on the entities that generated waste, arranged for disposal of the wastes, transported to or selected the disposal sites and the past and present owners and operators of such sites.",environmental,none
421,"in addition, cercla and similar state laws could impose liability for damages to natural resources caused by contamination.",environmental,none
422,"although we seek to take preventive action, our operations are inherently subject to accidental spills, discharges or other releases of hazardous substances that may make us liable to governmental entities or private parties.",environmental,none
423,"this may involve contamination associated with our current and former facilities, facilities to which we sent wastes or by-products for treatment or disposal and other contamination.",environmental,none
424,"accidental discharges may occur in the future, future action may be taken in connection with past discharges, governmental agencies may assess damages or penalties against us in connection with any past or future contamination, or third parties may assert claims against us for damages allegedly arising out of any past or future contamination.",environmental,none
426,"for further discussion of such existing contamination, see item 1, business—environmental and other regulation.",environmental,none
481,"in the event of a terrorist attack impacting one or more of our facilities, we could lose the net sales from the facilities and the facilities themselves, and could become liable for any contamination or for personal or property damage due to exposure to hazardous materials caused by any catastrophic release that may result from a terrorist attack.",environmental,none
560,"legal proceedingsin addition to the matters described under item 1, business—environmental and other regulation, we are involved in various routine legal proceedings incidental to the conduct of our business.",environmental,none
862,"factors that have caused volatility in our raw material prices in the past, and which may do so in the future include: •the availability of feedstock from shale gas and oil drilling; •shortages of raw materials due to increasing demand; •ethane, propane and liquefied natural gas exports;•capacity constraints due to construction delays, strike action or involuntary shutdowns; •the general level of business and economic activity; and •the direct or indirect effect of governmental regulation.",environmental,none
871,"as noted above in item 1a, risk factors, we are subject to extensive environmental regulations, which may impose significant additional costs on our operations in the future.",environmental,none
