,text,environmental,action
83,"in addition, we produce ethylene co-products including chemical grade propylene, crude butadiene, pyrolysis gasoline and hydrogen.",environmental,none
111,we own a 50% interest in a 104-mile natural gas liquids pipeline from mont belvieu to our lake charles site.,environmental,none
183,"products made from pvc are used in construction materials ranging from water and sewer systems to home and commercial applications for fence, deck, window and door systems.",environmental,none
233,"5table of contentsenvironmental and other regulation as is common in our industry, obtaining, producing and distributing many of our products involves the use, storage, transportation and disposal of large quantities of toxic and hazardous materials, and our manufacturing operations require the generation and disposal of large quantities of hazardous wastes.",environmental,none
234,"we are subject to extensive, evolving and increasingly stringent international, national, state and local environmental laws, regulations and directives, which address, among other things, the following: •emissions to the air; •discharges to land or to surface and subsurface waters; •other releases into the environment; •remediation of contaminated sites; •generation, handling, storage, transportation, treatment and disposal of waste materials; and •maintenance of safe conditions in the workplace.",environmental,none
235,we are subject to environmental laws and regulations that can impose civil and criminal sanctions and that may require us to mitigate the effects of contamination caused by the release or disposal of hazardous substances into the environment.,environmental,none
238,"comprehensive environmental response, compensation, and liability act, an owner or operator of property may be held strictly liable for remediating contamination without regard to whether that person caused the contamination, and without regard to whether the practices that resulted in the contamination were legal at the time they occurred.",environmental,none
240,the federal clean air act.,environmental,none
241,"the clean air act and its implementing regulations, as well as the corresponding state laws and regulations, impose permitting requirements and emission control requirements relating to specific air pollutants, as well as the requirement for certain facilities to maintain a risk management program to help prevent accidental releases of certain substances.",environmental,action
242,air quality standards promulgated pursuant to the caa may require the installation of new or additional emission control equipment or changes in facility operations.,environmental,none
246,"the release of hazardous substances or extremely hazardous substances into the environment is subject to release reporting requirements under federal and state environmental laws, including the emergency planning and community right-to-know act.",environmental,none
248,clean water act.,environmental,none
249,"the clean water act and analogous state laws impose restrictions and strict controls with respect to the discharge of pollutants, including spills and leaks of oil and other substances, into waters of the u.",environmental,none
252,waste management.,environmental,none
253,"the resource conservation and recovery act and analogous state laws establish stringent requirements for the generation, handling, storage, transportation, and disposal of hazardous wastes.",environmental,none
254,"at facilities where hazardous wastes have been spilled, released into the environment, or disposed, these laws may require costly investigations, studies, and response actions, possibly including removal and re-disposal of any such wastes.",environmental,none
256,"we generate large quantities of hazardous wastes in connection with our operations, and could incur significant liabilities under rcra and similar laws for any mismanagement or other improper or unauthorized handling of such wastes.",environmental,none
258,"under the industrial emission directive, european union member state governments are expected to adopt rules and implement environmental permitting programs relating to air, water and waste for industrial facilities.",environmental,action
261,"in addition, under the environmental liability directive, european union member states can require the remediation of soil and groundwater contamination in certain circumstances, under the polluter pays principle.",environmental,none
266,"the soil and groundwater at the site, which does not include our nearby pvc facility, had been extensively contaminated under goodrich's operations.",environmental,none
270,the current environmental remediation activities at the calvert city site do not have a specified termination date but are expected to last for the foreseeable future.,environmental,none
271,the costs incurred by us that have been invoiced to polyone to provide the environmental remediation services were $2.,environmental,none
280,"in 2003, the kentucky environmental and public protection cabinet re-issued goodrich's rcra permit which requires goodrich to remediate contamination at the calvert city manufacturing site.",environmental,action
285,"environmental protection agency, pursuant to an administrative settlement agreement, which became effective on december 9, 2009.",environmental,none
290,"in may 2009, the cabinet sent a letter to the epa requesting the epa's assistance in addressing contamination at the calvert city site under cercla.",environmental,none
306,"for several years, the epa has been conducting an enforcement initiative against petroleum refineries and petrochemical plants with respect to emissions from flares.",environmental,action
