,text,environmental,action
3,"31-10K bazadebezolkohpepadr=1656915796 Table of ContentsUNITED STATESSECURITIES AND EXCHANGE COMMISSIONWASHINGTON, D.",environmental,none
125,G.,environmental,none
129,"Most of these products were sold directly to manufacturing companies in the chemical processing, plastics, including polyvinyl chloride, paper, minerals, metals, agricultural products and water treatment industries.",environmental,none
140,"PPG’s major markets are commercial and residential construction and the wind energy, energy infrastructure, transportation and electronics industries.",environmental,none
151,"Coatings raw materials include both organic, primarily petroleum based, materials and inorganic materials, including titanium dioxide, and generally comprise 70-to-80% of cost of goods sold in most coatings formulations and represent PPG’s single largest production cost component.",environmental,none
156,"Energy is a significant production cost in the Commodity Chemicals and Glass segments, and our primary energy cost is natural gas.",environmental,none
157,PPG has historically purchased 60-to-70 trillion British Thermal Units of natural gas each year.,environmental,none
160,"compared to 2011, reflecting continued higher natural gas supply stemming from the success of shale gas drilling.",environmental,none
161,"The separation of PPG's commodity chemicals business greatly reduced PPG's natural gas exposure, with annual purchases now expected to range from 10-to-20 trillion BTUs per year.",environmental,none
169,"The Company also has undertaken a strategic initiative with multiple global suppliers to secure and enhance PPG’s supply of titanium dioxide, as well as to add to the global supply of this raw material.",environmental,action
173,", by which PPG will license certain chloride-based titanium dioxide technologies to Billions for use at Billions’ titanium dioxide refinement facilities in China.",environmental,action
174,"In addition, PPG has signed a long-term purchase agreement for titanium dioxide with Billions.",environmental,none
175,"PPG intends to use the chloride-based titanium dioxide manufactured by Billions for various end-use applications, including paints and other coatings.",environmental,action
176,Billions is also able to sell the chloride-based titanium dioxide to third parties.,environmental,none
177,Our efforts to reduce titanium dioxide consumption resulted in a 4% reduction in titanium dioxide usage during 2012.,environmental,action
182,"REACH requires the registration of these substances, entailing the filing of extensive data on their potential risks to human health and the environment.",environmental,none
229,Environmental MattersPPG is subject to existing and evolving standards relating to protection of the environment.,environmental,none
230,"Capital expenditures for environmental control projects were $12 million, $15 million and $16 million in 2012, 2011 and 2010, respectively.",environmental,none
232,"Although future capital expenditures are difficult to estimate accurately because of constantly changing regulatory standards and policies, it can be anticipated that environmental control standards will become increasingly stringent and the cost of compliance will increase.",environmental,none
233,"In March of 2011, the United States Environmental Protection Agency proposed amendments to the national emission standards for hazardous air pollutants for mercury emissions from mercury cell chlor-alkali plants known as Mercury Maximum Achievable Control Technology .",environmental,action
234,USEPA’s proposed amendments would require improvements in work practices to reduce fugitive emissions and would result in reduced levels of mercury emissions while still allowing the mercury cell facilities to continue to operate.,environmental,action
241,Va facility discharges its wastewater into the Ohio River pursuant to a National Pollution Discharge Elimination System permit issued by the West Virginia Department of Environmental Protection .,environmental,none
242,"Because it discharges into the Ohio River, the NPDES permit terms must conform to pollution control standards for the Ohio River set by the Ohio River Valley Water Sanitation Commission .",environmental,none
245,"facility to continue to have a mixing zone for its discharge of mercury for a five-year period after ORSANCO's prohibition on mixing zones takes effect on October 16, 2013.",environmental,none
246,"PPG is negotiating with various government agencies concerning 108 current and former manufacturing sites and offsite waste disposal locations, including 20 sites on the National Priority List.",environmental,action
247,"While PPG is not generally a major contributor of wastes to these offsite waste disposal locations,  each potentially responsible party may face governmental agency assertions of joint and several liability.",environmental,none
251,"As of December 31, 2012 and 2011, PPG had reserves for estimated environmental remediation costs totaling $332 million and $226 million, respectively, of which $101 million and $59 million, respectively, were classified as current liabilities.",environmental,none
252,"Pretax charges against income for environmental remediation costs in 2012, 2011 and 2010 totaled $167 million, $16 million and $21 million, respectively.",environmental,none
