,text,environmental,action
105,"PPG’s vision is to be the world’s leading coatings company by consistently delivering high-quality, innovative and sustainable solutions that customers trust to protect and beautify their products and surroundings.",environmental,none
106,"  PPG has a proud heritage and demonstrated commitment to innovation, sustainability, community engagement and developing leading-edge paint, coatings and specialty materials technologies.",environmental,none
142,"Raw materials include both organic, primarily petroleum-derived, materials and inorganic materials, including titanium dioxide.",environmental,none
149,"These initiatives include qualifying multiple sources of supply, both local and international, including suppliers from Asia and other lower cost regions of the world, adding on-site resin production at certain manufacturing locations and reducing the amount of titanium dioxide used in our product formulations.",environmental,action
156,"At PPG, our commitment to sustainability extends to our suppliers as an extension of our internal focus on sustainability.",environmental,none
157,"Our Global Supplier Code of Conduct clarifies our global expectations in the areas of business integrity, labor practices, associate health and safety, and environmental management.",environmental,none
159,"In addition, in 2020, PPG engaged EcoVadis™, a leading global corporate social responsibility and sustainability ratings company, to leverage assessment processes, tools, resources and insights to drive sustainability standards and practices throughout PPG's      2020 PPG ANNUAL REPORT AND 10-K 6global supply base.",environmental,action
160,"The EcoVadis sustainability intelligence suite will assist PPG in providing broad-scale supply chain risk screening and mapping, more reliable supplier sustainability metric scorecards with actionable ratings, and complete audit and improvement management capabilities.",environmental,action
161,"PPG earned a Gold rating from EcoVadis underscoring our ongoing commitment to corporate social responsibility and our efforts to manage our economic, social and environmental impact.",environmental,action
192,It guides our employees and leaders as we strive to achieve our purpose of protecting and beautifying the world.,environmental,none
203,More information about PPG’s people strategies and our workforce can be found in the Proxy Statement for our 2021 Annual Meeting of Shareholders and our Sustainability Report and on our sustainability website at http://sustainability.,environmental,none
206,Environmental MattersPPG is committed to operating in a sustainable manner and to helping our customers meet their sustainability goals.,environmental,action
207,"Our sustainability efforts are led by the Technology and Environment Committee of our Board of Directors and our Sustainability Committee, which is comprised of members of PPG’s senior management team.",environmental,none
208,"The Sustainability Committee establishes policies, programs, procedures and goals to address sustainability in our business practices, including resource management, climate change, innovation, communications, purchasing, manufacturing and employee wellness.",environmental,action
209,Our dedication to innovation is intertwined with sustainability.,environmental,none
210,"Once again, we increased the percent of our sales from sustainable products to 35% in 2020 from 33% in 2019.",environmental,action
211,"We are marketing an ever-growing variety of products and services that provide environmental, safety and other benefits to our customers.",environmental,action
212,"Our products contribute to lighter, more fuel-efficient vehicles, airplanes and ships, and they help our customers reduce their energy consumption, conserve water and reduce waste.",environmental,action
213,"These products include a compact automotive paint process that saves energy and reduces water usage; sustainable, waterborne coatings formulations; lightweight sealants and coatings for aircraft; coatings that cool surfaces; coatings for recyclable metal packaging; antimicrobial products; and solutions for autonomous and battery-powered vehicles.",environmental,none
214,The Company’s commitment to sustainability continues to yield tangible results.,environmental,none
215,"In 2020, we again made significant progress reducing our energy intensity, greenhouse gas emissions intensity and waste intensity.",environmental,action
216,"More information about PPG’s sustainability values, efforts, goals and data and our community and employee engagement programs can be found in our Sustainability Report and on our sustainability website at http://sustainability.",environmental,action
218,com and on the CDP’s website at www.,environmental,none
221,     2020 PPG ANNUAL REPORT AND 10-K 8We are subject to existing and evolving standards relating to the protection of the environment.,environmental,none
222,"In management’s opinion, the Company operates in an environmentally sound manner and is well positioned, relative to environmental matters, within the industries in which it operates.",environmental,none
223,"PPG is negotiating with various government agencies concerning current and former manufacturing sites and offsite waste disposal locations, including certain sites on the National Priority List.",environmental,action
224,"While PPG is not generally a major contributor of wastes to these offsite waste disposal locations, each potentially responsible party may face governmental agency assertions of joint and several liability.",environmental,none
228,Our experience to date regarding environmental matters leads us to believe that we will have continuing expenditures for compliance with provisions regulating the protection of the environment and for present and future remediation efforts at waste and plant sites.,environmental,none
230,"In addition to the $300 million currently reserved for environmental remediation efforts, we may be subject to loss contingencies related to environmental matters estimated to be approximately $100 million to $200 million.",environmental,none
231,"These reasonably possible unreserved losses relate to environmental matters at a number of sites, none of which are individually significant.",environmental,none
233,202020192018Capital expenditures for environmental control projects$12 $15 $20 It is expected that capital expenditures for such projects in 2021 will be in the range of $15 million to $25 million.,environmental,none
234,"Although future capital expenditures are difficult to estimate accurately because of constantly changing regulatory standards and policies, it can be anticipated that environmental control standards will become increasingly stringent and the cost of compliance will increase.",environmental,none
236,"See Note 15, “Commitments and Contingent Liabilities” under Item 8 of this Form 10-K for additional information related to environmental matters and our accrued liability for estimated environmental remediation costs.",environmental,none
260,"Raw materials include both organic, primarily petroleum-derived, materials and inorganic materials, including titanium dioxide.",environmental,none
267,"These initiatives include qualifying multiple and local sources of supply, including suppliers from Asia and other lower cost regions of the world, adding on-site resin production at certain manufacturing locations, and a reduction in the amount of titanium dioxide and other raw materials used in our product formulations.",environmental,action
277,We are subject to existing and evolving standards relating to the protection of the environment.,environmental,none
278,"Environmental laws and regulations control, among other things, the discharge of pollutants into the air and water, the handling, use, treatment, storage and clean-up of hazardous and non-hazardous waste, and the investigation and remediation of soil and groundwater affected by hazardous substances.",environmental,none
280,"The environmental laws and regulations we are subject to impose liability for the costs of, and damages resulting from, cleaning up current sites, past spills, disposals and other releases of hazardous substances.",environmental,none
282,"Future environmental laws and regulations may require substantial capital expenditures or may require or cause us to modify or curtail our operations, which may have a material adverse impact on our business, financial condition and results of operations.",environmental,none
285,"Those lawsuits and claims relate to contract, patent, environmental, product liability, asbestos exposure, antitrust, employment, securities and other matters arising out of the conduct of PPG’s current and past business activities.",environmental,none
319,"laws and regulations, and legal compliance risks, including securities laws, tax laws, environmental laws, employment and pension-related laws, competition laws, U.",environmental,none
353,"Unexpected events, including supply disruptions, temporary plant and/or power outages, work stoppages, natural disasters and severe weather events, significant public health issues, computer system disruptions, fires, war or terrorist activities, could increase the cost of doing business or otherwise harm the operations of PPG, our customers and our suppliers.",environmental,none
407,"These lawsuits and claims may relate to contract, patent, environmental, product liability, asbestos exposure, antitrust, employment, securities and other matters arising out of the conduct of PPG’s current and past business activities.",environmental,none
409,"PPG’s lawsuits and claims against others include claims against insurers and other third parties with respect to actual and contingent losses related to environmental, asbestos and other matters.",environmental,none
423,"One of the federal court actions also alleged breach of fiduciary duty and unjust enrichment claims arising out of certain environmental liabilities the Company incurred, and continues to incur, related to its former Ford City glass plant.",environmental,none
444,"From the late 1880’s until the early 1970’s, PPG owned property located in Cadogan and North Buffalo Townships, Pennsylvania which was used for the disposal of solid waste from PPG’s former glass manufacturing facility in Ford City, Pennsylvania.",environmental,none
445,"In October 2018, the Pennsylvania Department of Environmental Protection approved PPG’s cleanup plan for the Cadogan Property.",environmental,action
449,"PPG’s former disposal area is also the subject of a citizens’ suit filed by the Sierra Club and PennEnvironment seeking remedial measures beyond the measures specified in PPG’s approved cleanup plan, a civil penalty in addition to the penalty included in the CO&A and plaintiffs’ attorneys fees.",environmental,none
476,"She previously served as President and Chief Executive Officer of Honeywell UOP from 2016 to 2018, Senior Vice President and General Manager, Catalyst Adsorbents and Specialties of Honeywell UOP from 2015 to 2016 and Senior Vice President and General Manager, Gas Processing and Hydrogen of Honeywell UOP from 2012 to 2015.",environmental,none
512,2 %57.,environmental,none
529,Other chargesOther charges consist primarily of environmental remediation charges.,environmental,none
530,These charges were principally for environmental remediation at a former chromium manufacturing plant and associated sites in New Jersey.,environmental,none
566,10 Net charges related to environmental remediation26 7 24.,environmental,none
568,08 Expenses incurred due to natural disasters 17 4 24.,environmental,none
580,71 Net charges related to environmental remediation61 14 23.,environmental,none
670,GDP fell by about 5%.,environmental,none
783,"Commitments and Contingent Liabilities, including Environmental MattersPPG is involved in a number of lawsuits and claims, both actual and potential, including some that it has asserted against others, in which substantial monetary damages are sought.",environmental,none
788,Reserves for environmental contingencies are exclusive of claims against third parties and are generally not discounted.,environmental,none
789,"In management’s opinion, the Company operates in an environmentally sound manner and the outcome of the Company’s environmental contingencies will not have a material effect on PPG’s financial position or liquidity; however, any such outcome may be material to the results of operations of any particular period in which costs, if any, are recognized.",environmental,none
790,Management anticipates that the resolution of the Company’s environmental contingencies will occur over an extended period of time.,environmental,none
791,"As also discussed in Note 15, PPG has significant reserves for environmental contingencies.",environmental,none
792,Please refer to the Environmental Matters section of Note 15 for details of these reserves.,environmental,none
793,"A significant portion of our reserves for environmental contingencies relate to ongoing remediation at PPG's former chromium manufacturing plant in Jersey City, N.",environmental,none
799,"As these events occur and to the extent that the cost estimates of the environmental remediation remedies change, the existing reserve for this environmental remediation matter will continue to be adjusted.",environmental,none
803,2%2020 vs.,environmental,none
816,2 4.,environmental,none
817,6 Environmental expenditures 20202019Cash outlays related to environmental remediation activities$60 $77 We expect cash outlays for environmental remediation activities in 2021 to be between $80 million and $100 million.,environmental,none
