,text,environmental,action
73,"throughout exxonmobil’s businesses, new and ongoing measures are taken to prevent and minimize the impact of our operations on air, water and ground.",environmental,action
74,"these include a significant investment in refining infrastructure and technology to manufacture clean fuels, as well as projects to monitor and reduce nitrogen oxide, sulfur oxide and greenhouse gas emissions, and expenditures for asset retirement obligations.",environmental,action
75,"using definitions and guidelines established by the american petroleum institute, exxonmobil’s 2019 worldwide environmental expenditures for all such preventative and remediation steps, including exxonmobil’s share of equity company expenditures, were $5.",environmental,none
114,"a number of countries limit access to their oil and gas resources, or may place resources off-limits from development altogether.",environmental,none
121,"some countries in which we do business lack well-developed legal systems, or have not yet adopted, or may be unable to maintain, clear regulatory frameworks for oil and gas development.",environmental,none
124,2 regulatory and litigation risks.,environmental,none
129,climate change and greenhouse gas restrictions.,environmental,none
130,"due to concern over the risks of climate change, a number of countries have adopted, or are considering the adoption of, regulatory frameworks to reduce greenhouse gas emissions.",environmental,action
131,"these include adoption of cap and trade regimes, carbon taxes, minimum renewable usage requirements, restrictive permitting, increased efficiency standards, and incentives or mandates for renewable energy.",environmental,action
132,"such policies could make our products more expensive, less competitive, lengthen project implementation times, and reduce demand for hydrocarbons, as well as shift hydrocarbon demand toward relatively lower-carbon sources such as natural gas.",environmental,none
133,"current and pending greenhouse gas regulations or policies may also increase our compliance costs, such as for monitoring or sequestering emissions.",environmental,none
134,alternative energy.,environmental,none
135,many governments are providing tax advantages and other subsidies to support transitioning to alternative energy sources or are mandating the use of specific fuels or technologies.,environmental,action
136,governments and others are also promoting research into new technologies to reduce the cost and increase the scalability of alternative energy sources.,environmental,action
138,"our research projects focus on developing algae-based biofuels, carbon capture and storage, breakthrough energy efficiency processes, advanced energy-saving materials, and other technologies.",environmental,action
141,department of energy’s national laboratory network to bring low-emission energy breakthroughs to commercial scale.,environmental,action
142,our future results may depend in part on the success of our research efforts and on our ability to adapt and apply the strengths of our current business model to providing the energy products of the future in a cost-competitive manner.,environmental,action
161,"to maintain our competitive position, especially in light of the technological nature of our businesses and the need for continuous efficiency improvement, exxonmobil’s research and development organizations must be successful and able to adapt to a changing market and policy environment, including developing technologies to help reduce greenhouse gas emissions.",environmental,action
163,"safety, business controls, and environmental risk management.",environmental,none
165,we apply rigorous management systems and continuous focus on workplace safety and avoiding spills or other adverse environmental events.,environmental,action
167,"similarly, we are implementing cost-effective new technologies and adopting new operating practices to reduce air emissions, not only in response to government requirements but also to address community priorities.",environmental,action
174,"cybersecurity disruptions could cause physical harm to people or the environment; damage or destroy assets; compromise business systems; result in proprietary information being altered, lost, or stolen; result in employee, customer, or third-party information being compromised; or otherwise disrupt our business operations.",environmental,none
177,"our operations may be disrupted by severe weather events, natural disasters, human error, and similar events.",environmental,none
178,"for example, hurricanes may damage our offshore production facilities or coastal refining and petrochemical plants in vulnerable areas.",environmental,none
179,"our facilities are designed, constructed, and operated to withstand a variety of extreme climatic and other conditions, with safety factors built in to cover a number of engineering uncertainties, including those associated with wave, wind, and current intensity, marine ice flow patterns, permafrost stability, storm surge magnitude, temperature extremes, extreme rainfall events, and earthquakes.",environmental,none
180,our consideration of changing weather conditions and inclusion of safety factors in design covers the engineering uncertainties that climate change and other events may potentially introduce.,environmental,none
181,our ability to mitigate the adverse impacts of these events depends in part upon the effectiveness of our robust facility engineering as well as our rigorous disaster preparedness and response and business continuity planning.,environmental,none
188,technology and expertise provided by industry service companies may also enhance the competitiveness of firms that may not have the internal resources and capabilities of exxonmobil or reduce the need for resource-owning countries to partner with private-sector oil and gas companies in order to monetize national resources.,environmental,none
201,natural gas is converted to an oil-equivalent basis at six billion cubic feet per one million barrels.,environmental,none
222,"this group also maintains the official company reserves estimates for exxonmobil’s proved reserves of crude oil, natural gas liquids, bitumen, synthetic oil, and natural gas.",environmental,none
284,"85   natural gas, per thousand cubic feet 1.",environmental,none
313,"76   natural gas, per thousand cubic feet 1.",environmental,none
335,"89   natural gas, per thousand cubic feet 1.",environmental,none
371,"88   natural gas, per thousand cubic feet 2.",environmental,none
400,"64   natural gas, per thousand cubic feet 2.",environmental,none
422,"85   natural gas, per thousand cubic feet 2.",environmental,none
458,"88   natural gas, per thousand cubic feet 2.",environmental,none
487,"81   natural gas, per thousand cubic feet 2.",environmental,none
509,"70   natural gas, per thousand cubic feet 2.",environmental,none
537,the natural gas available for sale volumes are different from those shown in the reserves table in the “oil and gas reserves” part of the “supplemental information on oil and gas exploration and production activities” portion of the financial section of this report due to volumes consumed or flared.,environmental,none
538,natural gas is converted to an oil-equivalent basis at six million cubic feet per one thousand barrels.,environmental,none
566,the golden pass liquefied natural gas export project was funded in 2019.,environmental,action
606,"in 2018, the dutch cabinet notified parliament of its intention to further reduce previously legislated groningen gas extraction in response to seismic events over the last several years.",environmental,action
608,"in 2019, the dutch cabinet informed parliament of its intention to further reduce groningen gas extraction and terminate production in 2022.",environmental,action
655,2 million tonnes per year gross liquefied natural gas capacity and 2.,environmental,none
671,"the co-venturer-operated gorgon jansz liquefied natural gas development consists of a subsea infrastructure for offshore production and transportation of the gas, a 15.",environmental,none
681,9 million tonnes per year liquefied natural gas facility near port moresby.,environmental,none
689,"worldwide, we are contractually committed to deliver approximately 44 million barrels of oil and 2,500 billion cubic feet of natural gas for the period from 2020 through 2022.",environmental,action
717,argentina the federal hydrocarbon law was amended in 2014.,environmental,none
764,"omls granted under the 1969 petroleum act, which include all deepwater omls, have a maximum term of 20 years without distinction for onshore or offshore location and are renewable, upon 12 months’ written notice, for another period of 20 years.",environmental,none
868,2 0.,environmental,none
869,2 0.,environmental,none
876,2 2.,environmental,none
1099,"2,449 2,684  total2,386 2,266   total3,981 4,272                    natural gas production available for sale    petroleum product sales     united states2,778 2,574  united states2,292 2,210 non-u.",environmental,none
1105,"17,389 17,045         total26,516 26,869  natural gas is converted to an oil-equivalent basis at six million cubic feet per one thousand barrels.",environmental,none
1191,natural gas is converted to an oil-equivalent basis at six million cubic feet per one thousand barrels.,environmental,none
1216,"actual future results, including business and project plans, capacities, costs, and timing; capital spending; proceeds from asset sales; resource recoveries and production rates; asset carrying values; proved reserves; financing sources; the resolution of contingencies and uncertain tax positions; and the impact of new technologies, including to increase capital efficiency and production and to reduce greenhouse gas emissions, could differ materially due to a number of factors.",environmental,none
1222,"exxonmobil, with its resource base, financial strength, disciplined investment approach and technology portfolio, is well-positioned to participate in substantial investments to develop new energy supplies.",environmental,action
1231,"by 2040, the world’s population is projected at around 9.",environmental,none
1232,"2 billion people, or about 1.",environmental,none
1235,"as economies and populations grow, and as living standards improve for billions of people, the need for energy is expected to continue to rise.",environmental,none
1236,"even with significant efficiency gains, global energy demand is projected to rise by about 20 percent from 2017 to 2040.",environmental,none
1237,this increase in energy demand is expected to be driven by developing countries ) .,environmental,none
1238,"as expanding prosperity helps drive global energy demand higher, increasing use of energy efficient technologies and practices as well as lower-emission products will continue to help significantly reduce energy consumption and emissions per unit of economic output over time.",environmental,action
1239,"substantial efficiency gains are likely in all key aspects of the world’s economy through 2040, affecting energy requirements for power generation, transportation, industrial applications, and residential and commercial needs.",environmental,none
1240,"global electricity demand is expected to increase approximately 60 percent from 2017 to 2040, with developing countries likely to account for about 85 percent of the increase.",environmental,none
1241,"consistent with this projection, power generation is expected to remain the largest and fastest growing major segment of global primary energy demand, supported by a wide variety of energy sources.",environmental,none
1242,"the share of coal fired generation is likely to decline substantially and approach 25 percent of the world’s electricity in 2040, versus nearly 40 percent in 2017, in part as a result of policies to improve air quality as well as reduce greenhouse gas emissions to address the risks related to climate change.",environmental,action
1243,"from 2017 to 2040, the amount of electricity supplied using natural gas, nuclear power, and renewables is likely to grow by two thirds, accounting for the entire growth in electricity supplies and offsetting the reduction of coal.",environmental,none
1244,"electricity from wind and solar is likely to increase about 400 percent, helping total renewables to account for about 75 percent of the increase in electricity supplies worldwide through 2040.",environmental,none
1245,total renewables will likely reach nearly 40 percent of global electricity supplies by 2040.,environmental,none
1246,"natural gas and nuclear are also expected to increase shares over the period to 2040, reaching almost 30 percent and about 15 percent of global electricity supplies respectively by 2040.",environmental,none
1248,"energy for transportation – including cars, trucks, ships, trains and airplanes – is expected to increase more than 25 percent from 2017 to 2040.",environmental,none
1249,transportation energy demand is likely to account for approximately 60 percent of the growth in liquid fuels demand worldwide over this period.,environmental,none
1250,"light-duty vehicle demand for liquid fuels is projected to peak prior to 2025 and then decline to levels seen in the early-2010s by 2040 as the impact of better fuel economy and significant growth in electric cars, led by china, europe, and the united states, work to offset growth in the worldwide car fleet of about 70 percent.",environmental,action
1251,"by 2040, light-duty vehicles are expected to account for about 20 percent of global liquid fuels demand.",environmental,none
1252,"during the same time period, nearly all the world’s transportation fleets are likely to continue to run on liquid fuels, which are widely available and offer practical advantages in providing a large quantity of energy in small volumes.",environmental,none
1253,"liquid fuels provide the largest share of global energy supplies today reflecting broad-based availability, affordability, ease of transportation, and fitness as a practical solution to meet a wide variety of needs.",environmental,none
1254,"by 2040, global demand for liquid fuels is projected to grow to approximately 114 million barrels of oil equivalent per day, an increase of about 16 percent from 2017.",environmental,none
1255,"the non-oecd share of global liquid fuels demand is expected to increase to about 65 percent by 2040, as liquid fuels demand in the oecd is likely to decline by close to 10 percent.",environmental,none
1256,"much of the global liquid fuels demand today is met by crude production from traditional conventional sources; these supplies will remain important, and significant development activity is expected to offset much of the natural declines from these fields.",environmental,none
1257,"at the same time, a variety of emerging supply sources – including tight oil, deepwater, oil sands, natural gas liquids and biofuels – are expected to grow to help meet rising demand.",environmental,none
1258,the world’s resource base is sufficient to meet projected demand through 2040 as technology advances continue to expand the availability of economic and lower carbon supply options.,environmental,action
1260,"natural gas is a low-emission, versatile and practical fuel for a wide variety of applications, and it is expected to grow the most of any primary energy type from 2017 to 2040, meeting more than 40 percent of global energy demand growth.",environmental,none
1261,"global natural gas demand is expected to rise about 35 percent from 2017 to 2040, with about half of that increase coming from the asia pacific region.",environmental,none
1262,significant growth in supplies of unconventional gas – the natural gas found in shale and other tight rock formations – will help meet these needs.,environmental,none
1263,"in total, about 60 percent of the growth in natural gas supplies is expected to be from unconventional sources.",environmental,none
