,text,environmental,action
36,"their principal business is energy, involving exploration for, and production of, crude oil and natural gas, manufacture of petroleum products and transportation and sale of crude oil, natural gas and petroleum products.",environmental,none
43,"throughout exxonmobil’s businesses, new and ongoing measures are taken to prevent and minimize the impact of our operations on air, water and ground.",environmental,action
44,"these include a significant investment in refining infrastructure and technology to manufacture clean fuels as well as projects to monitor and reduce nitrogen oxide, sulfur oxide, and greenhouse gas emissions and expenditures for asset retirement obligations.",environmental,action
45,"exxonmobil’s 2011 worldwide environmental expenditures for all such preventative and remediation steps, including exxonmobil’s share of equity company expenditures, were $4.",environmental,none
100,"a number of countries limit access to their oil and gas resources, or may place resources off-limits from development altogether.",environmental,none
113,"some countries in which we do business lack well-developed legal systems, or have not yet adopted clear regulatory frameworks for oil and gas development.",environmental,action
122,climate change and greenhouse gas restrictions.,environmental,none
123,"due to concern over the risk of climate change, a number of countries have adopted, or are considering the adoption of, regulatory frameworks to reduce greenhouse gas emissions.",environmental,action
124,"these include adoption of cap and trade regimes, carbon taxes, restrictive permitting, increased efficiency standards, and incentives or mandates for renewable energy.",environmental,action
125,"these requirements could make our products more expensive, lengthen project implementation times, and reduce demand for hydrocarbons, as well as shifting hydrocarbon demand toward relatively lower-carbon sources such as natural gas.",environmental,none
126,"current and pending greenhouse gas regulations may also increase our compliance costs, such as for monitoring or sequestering emissions.",environmental,none
127,government sponsorship of alternative energy.,environmental,action
128,many governments are providing tax advantages and other subsidies and mandates to make alternative energy sources more competitive against oil and gas.,environmental,action
129,governments are also promoting research into new technologies to reduce the cost and increase the scalability of alternative energy sources.,environmental,action
130,"we are conducting our own research efforts into alternative energy, such as through sponsorship of the global climate and energy project at stanford university and research into hydrogen fuel cells and fuel-producing algae.",environmental,action
131,our future results may depend in part on the success of our research efforts and on our ability to adapt and apply the strengths of our current business model to providing the competitive energy products of the future.,environmental,action
147,"safety, business controls, and environmental risk management.",environmental,none
149,we apply rigorous management systems and continuous focus to workplace safety and to avoiding spills or other adverse environmental events.,environmental,action
151,"similarly, we are implementing cost-effective new technologies and adopting new operating practices to reduce air emissions, not only in response to government requirements but also to address community priorities.",environmental,action
158,"our operations may be disrupted by severe weather events, natural disasters, human error, and similar events.",environmental,none
159,"for example, hurricanes may damage our offshore production facilities or coastal refining and petrochemical plants in vulnerable areas.",environmental,none
160,"our ability to mitigate the adverse impacts of these events depends in part upon the effectiveness of our rigorous disaster preparedness and response planning, as well as business continuity planning.",environmental,none
181,6 million barrels of crude oil and natural gas liquids and 65 billion cubic feet of natural gas.,environmental,none
199,"this group also maintains the official company reserves estimates for exxonmobil’s proved reserves of crude and natural gas liquids, bitumen, synthetic oil and natural gas.",environmental,none
259,"79    natural gas, per thousand cubic feet     3.",environmental,none
285,"74    natural gas, per thousand cubic feet     5.",environmental,none
300,"78    natural gas, per thousand cubic feet     3.",environmental,none
