,text,environmental,action
35,"their principal business is energy, involving exploration for, and production of, crude oil and natural gas, manufacture of petroleum products and transportation and sale of crude oil, natural gas and petroleum products.",environmental,none
41,"throughout exxonmobil’s businesses, new and ongoing measures are taken to prevent and minimize the impact of our operations on air, water and ground.",environmental,action
42,"these include a significant investment in refining infrastructure and technology to manufacture clean fuels, as well as projects to monitor and reduce nitrogen oxide, sulfur oxide and greenhouse gas emissions, and expenditures for asset retirement obligations.",environmental,action
43,"using definitions and guidelines established by the american petroleum institute, exxonmobil’s 2014 worldwide environmental expenditures for all such preventative and remediation steps, including exxonmobil’s share of equity company expenditures, were $6.",environmental,none
97,"a number of countries limit access to their oil and gas resources, or may place resources off-limits from development altogether.",environmental,none
106,"some countries in which we do business lack well-developed legal systems, or have not yet adopted clear regulatory frameworks for oil and gas development.",environmental,action
115,climate change and greenhouse gas restrictions.,environmental,none
116,"due to concern over the risk of climate change, a number of countries have adopted, or are considering the adoption of, regulatory frameworks to reduce greenhouse gas emissions.",environmental,action
117,"these include adoption of cap and trade regimes, carbon taxes, restrictive permitting, increased efficiency standards, and incentives or mandates for renewable energy.",environmental,action
118,"these requirements could make our products more expensive, lengthen project implementation times, and reduce demand for hydrocarbons, as well as shift hydrocarbon demand toward relatively lower-carbon sources such as natural gas.",environmental,none
119,"current and pending greenhouse gas regulations may also increase our compliance costs, such as for monitoring or sequestering emissions.",environmental,none
120,government sponsorship of alternative energy.,environmental,action
121,many governments are providing tax advantages and other subsidies to support alternative energy sources or are mandating the use of specific fuels or technologies.,environmental,action
122,governments are also promoting research into new technologies to reduce the cost and increase the scalability of alternative energy sources.,environmental,action
123,"we are conducting our own research efforts into alternative energy, such as through sponsorship of the global climate and energy project at stanford university and research into liquid products from algae and biomass that can be further converted to transportation fuels.",environmental,action
124,our future results may depend in part on the success of our research efforts and on our ability to adapt and apply the strengths of our current business model to providing the energy products of the future in a cost-competitive manner.,environmental,action
141,"safety, business controls, and environmental risk management.",environmental,none
143,we apply rigorous management systems and continuous focus to workplace safety and to avoiding spills or other adverse environmental events.,environmental,action
145,"similarly, we are implementing cost-effective new technologies and adopting new operating practices to reduce air emissions, not only in response to government requirements but also to address community priorities.",environmental,action
152,"our operations may be disrupted by severe weather events, natural disasters, human error, and similar events.",environmental,none
153,"for example, hurricanes may damage our offshore production facilities or coastal refining and petrochemical plants in vulnerable areas.",environmental,none
154,"our ability to mitigate the adverse impacts of these events depends in part upon the effectiveness of our rigorous disaster preparedness and response planning, as well as business continuity planning.",environmental,none
166,2 million barrels of crude oil and natural gas liquids and 39 billion cubic feet of natural gas and proved undeveloped reserves of 7 billion cubic feet of natural gas.,environmental,none
183,"this group also maintains the official company reserves estimates for exxonmobil’s proved reserves of crude and natural gas liquids, bitumen, synthetic oil and natural gas.",environmental,none
224,"the largest of these is related to lng/gas projects in australia, where construction of the gorgon lng project is under way.",environmental,none
249,"07       natural gas, per thousand cubic feet   3.",environmental,none
278,"41       natural gas, per thousand cubic feet   4.",environmental,none
300,"84       natural gas, per thousand cubic feet   3.",environmental,none
336,"12       natural gas, per thousand cubic feet   2.",environmental,none
365,"96       natural gas, per thousand cubic feet   4.",environmental,none
387,"26       natural gas, per thousand cubic feet   3.",environmental,none
424,"71       natural gas, per thousand cubic feet   2.",environmental,none
453,"87       natural gas, per thousand cubic feet   3.",environmental,none
475,"74       natural gas, per thousand cubic feet   2.",environmental,none
503,the natural gas available for sale volumes are different from those shown in the reserves table in the “oil and gas reserves” part of the “supplemental information on oil and gas exploration and production activities” portion of the financial section of this report due to volumes consumed or flared.,environmental,none
625,8 million tonnes per year gross liquefied natural gas capacity and 2.,environmental,none
649,project construction activity for the co-venturer operated gorgon liquefied natural gas project progressed in 2014.,environmental,none
665,"worldwide, we are contractually committed to deliver approximately 18 million barrels of oil and 2,800 billion cubic feet of natural gas for the period from 2015 through 2017.",environmental,action
692,argentina the federal hydrocarbon law was amended in december 2014.,environmental,none
731,"omls granted under the 1969 petroleum act, which include all deepwater omls, have a maximum term of 20 years without distinction for onshore or offshore location and are renewable, upon 12 months’ written notice, for another period of 20 years.",environmental,none
811,2   -   0.,environmental,none
845,2   0.,environmental,none
846,2   0.,environmental,none
853,2   2.,environmental,none
873,"with respect to the administrative orders alleging clean water act violations issued by the usepa with regard to three locations of xto energy, inc.",environmental,none
874,"in west virginia and the five unresolved additional west virginia sites voluntarily disclosed by xto to the usepa reported in the corporation’s forms 10-q for the first quarter of 2012 and the first three quarters of 2014, in december 2014, xto agreed to a settlement with the department of justice, usepa and west virginia department of environmental protections pursuant to which xto would pay a civil penalty of $2.",environmental,none
952, neil w.,environmental,none
1002,"he was vice president, safety, security, health and environment of exxon mobil corporation july 1, 2011 – august 31, 2014.",environmental,none
1110,2   17.,environmental,none
1116,"2,667   2,766     total 2,111   2,202       total 4,476   4,585                                     natural gas production available for sale         petroleum product sales         united states 3,404   3,545     united states 2,655   2,609   non-u.",environmental,none
1141,2   28.,environmental,none
1155,2   6.,environmental,none
1161,2   2.,environmental,none
1281,"the corporation’s accounting and financial reporting fairly reflect its straightforward business model involving the extracting, manufacturing and marketing of hydrocarbons and hydrocarbon-based products.",environmental,none
1283,"exxonmobil, with its resource base, financial strength, disciplined investment approach and technology portfolio, is well-positioned to participate in substantial investments to develop new energy supplies.",environmental,action
1290,"  business environment and risk assessment long-term business outlook by 2040, the world’s population is projected to grow to approximately 9 billion people, or about 2 billion more than in 2010.",environmental,none
1292,"as economies and populations grow, and as living standards improve for billions of people, the need for energy will continue to rise.",environmental,none
1293,"even with significant efficiency gains, global energy demand is projected to rise by about 35 percent from 2010 to 2040.",environmental,none
1295,"  as expanding prosperity drives global energy demand higher, increasing use of energy-efficient and lower-emission fuels, technologies and practices will continue to help significantly reduce energy consumption and emissions per unit of economic output over time.",environmental,action
1296,"substantial efficiency gains are likely in all key aspects of the world’s economy through 2040, affecting energy requirements for transportation, power generation, industrial applications, and residential and commercial needs.",environmental,none
1297,"energy for transportation – including cars, trucks, ships, trains and airplanes – is expected to increase by about 40 percent from 2010 to 2040.",environmental,none
1298,the growth in transportation energy demand is likely to account for approximately 60 percent of the growth in liquid fuels demand worldwide over this period.,environmental,none
1299,"nearly all the world’s transportation fleets will continue to run on liquid fuels, which are abundant, widely available, easy to transport, and provide a large quantity of energy in small volumes.",environmental,none
1300,"demand for electricity around the world is likely to increase approximately 85 percent by 2040, led by growth in developing countries.",environmental,none
1301,"consistent with this projection, power generation is expected to remain the largest and fastest-growing major segment of global energy demand.",environmental,none
1302,meeting the expected growth in power demand will require a diverse set of energy sources.,environmental,none
1303,"natural gas demand is likely to grow most significantly and become the leading source of generated electricity by 2040, reflecting the efficiency of gas-fired power plants.",environmental,none
1304,"today, coal has the largest fuel share in the power sector, but its share is likely to decline significantly by 2040 as policies are gradually adopted to reduce environmental impacts including those related to local air quality and greenhouse gas emissions.",environmental,none
1305,"nuclear power and renewables, led by hydropower and wind, are also expected to grow significantly over the period.",environmental,none
1306,"41  management’s discussion and analysis of financial condition and results of operations     liquid fuels provide the largest share of global energy supplies today due to their broad-based availability, affordability and ease of transportation, distribution and storage to meet consumer needs.",environmental,none
1307,"by 2040, global demand for liquid fuels is expected to grow to approximately 115 million barrels of oil‑equivalent per day, an increase of almost 30 percent from 2010.",environmental,none
1308,"globally, crude production from traditional conventional sources will likely decrease slightly through 2040, with significant development activity mostly offsetting natural declines from these fields.",environmental,none
1309,"however, this decrease is expected to be more than offset by rising production from a variety of emerging supply sources – including tight oil, deepwater, oil sands, natural gas liquids and biofuels.",environmental,none
1312,"natural gas is a versatile fuel, suitable for a wide variety of applications, and is expected to be the fastest growing major fuel source through 2040.",environmental,none
1313,"global demand is expected to rise about 65 percent from 2010 to 2040, with about half of that increase in the asia pacific region.",environmental,none
1314,helping meet these needs will be significant growth in supplies of unconventional gas – the natural gas found in shale and other rock formations that was once considered uneconomic to produce.,environmental,none
1315,"about two-thirds of the growth in natural gas supplies is expected to be from unconventional sources, which will account for close to 35 percent of global gas supplies by 2040.",environmental,none
1316,"the worldwide liquefied natural gas market is expected to more than triple by 2040, stimulated by growing natural gas demand.",environmental,none
1317,the world’s energy mix is highly diverse and will remain so through 2040.,environmental,none
1318,oil is expected to remain the largest source of energy with its share remaining close to one-third in 2040.,environmental,none
